Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn11	1	1	1	0.7219328880310059	20.8181818182	11.4744896116	52.0	8.0	0.999	20.8181818182	11.4744896116	19.8181818182
dqn11	1	1	2	0.7833261489868164	20.9411764706	11.3265465805	52.0	8.0	0.998001	20.9411764706	11.3265465805	19.9411764706
dqn11	1	1	3	0.8455452919006348	21.0857142857	11.1953343052	52.0	8.0	0.997002999	21.0857142857	11.1953343052	20.0857142857
dqn11	1	1	4	0.9076948165893555	20.9444444444	11.0703418708	52.0	8.0	0.996005996001	20.9444444444	11.0703418708	19.9444444444
dqn11	1	1	5	0.973682165145874	21.8918918919	12.310803394	56.0	8.0	0.995009990004999	21.8918918919	12.310803394	20.8918918919
dqn11	1	1	6	1.0368714332580566	21.6842105263	12.2132483354	56.0	8.0	0.994014980014994	21.6842105263	12.2132483354	20.6842105263
dqn11	1	1	7	1.1007707118988037	21.4615384615	12.1335435749	56.0	8.0	0.993020965034979	21.4615384615	12.1335435749	20.4615384615
dqn11	1	1	8	1.167834997177124	21.775	12.1397848004	56.0	8.0	0.9920279440699441	21.775	12.1397848004	20.775
dqn11	1	1	9	1.2341461181640625	21.7073170732	11.9984631179	56.0	8.0	0.9910359161258742	21.7073170732	11.9984631179	20.7073170732
dqn11	1	1	10	1.296278715133667	21.7857142857	11.8653872657	56.0	8.0	0.9900448802097482	21.7857142857	11.8653872657	20.7857142857
dqn11	1	1	11	1.3594253063201904	21.7209302326	11.7341195633	56.0	8.0	0.9890548353295385	21.7209302326	11.7341195633	20.7209302326
dqn11	1	1	12	1.4246265888214111	22.3409090909	12.2917991542	56.0	8.0	0.988065780494209	22.3409090909	12.2917991542	21.3409090909
dqn11	1	1	13	1.499366044998169	22.8222222222	12.5667796439	56.0	8.0	0.9870777147137147	22.8222222222	12.5667796439	21.8222222222
dqn11	1	1	14	1.5689365863800049	22.9565217391	12.4620406622	56.0	8.0	0.986090636999001	22.9565217391	12.4620406622	21.9565217391
dqn11	1	1	15	1.6408751010894775	22.7872340426	12.3821013069	56.0	8.0	0.9851045463620021	22.7872340426	12.3821013069	21.7872340426
dqn11	1	1	16	1.7136895656585693	22.6458333333	12.2907308966	56.0	8.0	0.98411944181564	22.6458333333	12.2907308966	21.6458333333
dqn11	1	1	17	1.7825038433074951	22.7959183673	12.2090290975	56.0	8.0	0.9831353223738244	22.7959183673	12.2090290975	21.7959183673
