Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn11	3	3	1	0.3038754463195801	22.7272727273	10.1631322041	48.0	10.0	0.999	22.7272727273	10.1631322041	21.7272727273
dqn11	3	3	2	0.3637974262237549	22.4117647059	10.1752804472	48.0	10.0	0.998001	22.4117647059	10.1752804472	21.4117647059
dqn11	3	3	3	0.42284059524536133	22.2857142857	10.0557628923	48.0	10.0	0.997002999	22.2857142857	10.0557628923	21.2857142857
dqn11	3	3	4	0.48328280448913574	22.0555555556	10.0081756703	48.0	10.0	0.996005996001	22.0555555556	10.0081756703	21.0555555556
dqn11	3	3	5	0.5455331802368164	21.7837837838	10.0057689714	48.0	10.0	0.995009990004999	21.7837837838	10.0057689714	20.7837837838
dqn11	3	3	6	0.6061515808105469	21.7368421053	9.87736436859	48.0	10.0	0.994014980014994	21.7368421053	9.87736436859	20.7368421053
dqn11	3	3	7	0.6666510105133057	21.5641025641	9.80788503246	48.0	10.0	0.993020965034979	21.5641025641	9.80788503246	20.5641025641
dqn11	3	3	8	0.7277159690856934	21.3	9.82395032561	48.0	10.0	0.9920279440699441	21.3	9.82395032561	20.3
dqn11	3	3	9	0.7909204959869385	21.3414634146	9.70694937409	48.0	10.0	0.9910359161258742	21.3414634146	9.70694937409	20.3414634146
dqn11	3	3	10	0.8532981872558594	21.2380952381	9.61350618317	48.0	10.0	0.9900448802097482	21.2380952381	9.61350618317	20.2380952381
dqn11	3	3	11	0.9139707088470459	21.0465116279	9.5818469074	48.0	10.0	0.9890548353295385	21.0465116279	9.5818469074	20.0465116279
dqn11	3	3	12	0.974797248840332	21.0227272727	9.47362039935	48.0	10.0	0.988065780494209	21.0227272727	9.47362039935	20.0227272727
dqn11	3	3	13	1.0386719703674316	20.8222222222	9.46170970899	48.0	10.0	0.9870777147137147	20.8222222222	9.46170970899	19.8222222222
dqn11	3	3	14	1.101003885269165	20.7173913043	9.38468466376	48.0	10.0	0.986090636999001	20.7173913043	9.38468466376	19.7173913043
dqn11	3	3	15	1.1614389419555664	20.5744680851	9.33477752952	48.0	10.0	0.9851045463620021	20.5744680851	9.33477752952	19.5744680851
dqn11	3	3	16	1.2232177257537842	20.5625	9.23739287263	48.0	10.0	0.98411944181564	20.5625	9.23739287263	19.5625
dqn11	3	3	17	1.287696361541748	20.7346938776	9.22015429993	48.0	10.0	0.9831353223738244	20.7346938776	9.22015429993	19.7346938776
dqn11	3	3	18	1.350773572921753	21.94	12.4296580806	81.0	10.0	0.9821521870514506	21.94	12.4296580806	20.94
dqn11	3	3	19	1.4106593132019043	21.7843137255	12.3563331789	81.0	10.0	0.9811700348643991	21.7843137255	12.3563331789	20.7843137255
dqn11	3	3	20	1.4723756313323975	21.7692307692	12.2374195756	81.0	10.0	0.9801888648295347	21.7692307692	12.2374195756	20.7692307692
dqn11	3	3	21	1.5361404418945312	21.7547169811	12.1218742874	81.0	10.0	0.9792086759647052	21.7547169811	12.1218742874	20.7547169811
dqn11	3	3	22	1.5977673530578613	21.5740740741	12.0809029768	81.0	10.0	0.9782294672887405	21.5740740741	12.0809029768	20.5740740741
dqn11	3	3	23	1.661181926727295	21.6181818182	11.974960101	81.0	10.0	0.9772512378214517	21.6181818182	11.974960101	20.6181818182
dqn11	3	3	24	1.7242205142974854	21.6964285714	11.8817381528	81.0	10.0	0.9762739865836303	21.6964285714	11.8817381528	20.6964285714
dqn11	3	3	25	1.787276268005371	21.7719298246	11.7905962289	81.0	10.0	0.9752977125970467	21.7719298246	11.7905962289	20.7719298246
dqn11	3	3	26	1.8489956855773926	21.6724137931	11.7126338082	81.0	10.0	0.9743224148844496	21.6724137931	11.7126338082	20.6724137931
dqn11	3	3	27	1.9091734886169434	21.4915254237	11.694374834	81.0	10.0	0.9733480924695651	21.4915254237	11.694374834	20.4915254237
dqn11	3	3	28	1.9737765789031982	21.8666666667	11.9491515273	81.0	10.0	0.9723747443770956	21.8666666667	11.9491515273	20.8666666667
dqn11	3	3	29	2.0380136966705322	22.0819672131	11.9675724177	81.0	10.0	0.9714023696327185	22.0819672131	11.9675724177	21.0819672131
dqn11	3	3	30	2.0976099967956543	22.2419354839	11.9362358089	81.0	10.0	0.9704309672630859	22.2419354839	11.9362358089	21.2419354839
dqn11	3	3	31	2.161806583404541	22.4285714286	11.9319689107	81.0	10.0	0.9694605362958227	22.4285714286	11.9319689107	21.4285714286
dqn11	3	3	32	2.2242770195007324	22.5625	11.8860146285	81.0	10.0	0.9684910757595269	22.5625	11.8860146285	21.5625
dqn11	3	3	33	2.290306568145752	22.5076923077	11.8023766536	81.0	10.0	0.9675225846837673	22.5076923077	11.8023766536	21.5076923077
dqn11	3	3	34	2.352294445037842	22.8181818182	11.9771361616	81.0	10.0	0.9665550620990835	22.8181818182	11.9771361616	21.8181818182
dqn11	3	3	35	2.412792444229126	22.8059701493	11.8878324926	81.0	10.0	0.9655885070369844	22.8059701493	11.8878324926	21.8059701493
dqn11	3	3	36	2.474257469177246	23.0588235294	11.9802316988	81.0	10.0	0.9646229185299474	23.0588235294	11.9802316988	22.0588235294
dqn11	3	3	37	2.536198377609253	23.0	11.9029895161	81.0	10.0	0.9636582956114175	23.0	11.9029895161	22.0
