Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga5	1	1	10	0.19678568840026855	43.0	0.0	43.0	43.0	22.1
pga5	1	1	20	0.38758420944213867	29.0	14.0	43.0	15.0	23.55
pga5	1	1	30	0.6356573104858398	35.6666666667	14.8174071806	49.0	15.0	26.3
pga5	1	1	40	0.8180820941925049	31.5	14.7224318643	49.0	15.0	25.625
pga5	1	1	50	0.9812140464782715	27.4	15.5125755437	49.0	11.0	24.6
pga5	1	1	60	1.2050848007202148	26.0	14.5028732785	49.0	11.0	25.3
pga5	1	1	70	1.4607341289520264	26.8571428571	13.5902125646	49.0	11.0	26.5
pga5	1	1	80	1.6337335109710693	29.625	14.6708682429	49.0	11.0	26.0
pga5	1	1	90	1.893266201019287	29.5555555556	13.8332217755	49.0	11.0	26.9555555556
pga5	1	1	100	2.087949275970459	28.2	13.7389955965	49.0	11.0	26.73
pga5	1	1	110	2.292222499847412	28.4545454545	13.1243260354	49.0	11.0	27.31
pga5	1	1	120	2.505983829498291	27.4166666667	13.0285477148	49.0	11.0	27.76
pga5	1	1	130	2.648153781890869	26.0769230769	13.3500880923	49.0	10.0	26.33
pga5	1	1	140	2.887877941131592	25.5	13.0315551095	49.0	10.0	27.1
pga5	1	1	150	3.1512627601623535	24.9333333333	12.7669712757	49.0	10.0	28.53
pga5	1	1	160	3.4837286472320557	29.5	21.578345627	98.0	10.0	29.94
pga5	1	1	170	3.8564343452453613	28.6470588235	21.2102671489	98.0	10.0	31.4
pga5	1	1	180	4.203968524932861	30.6111111111	22.1463287374	98.0	10.0	33.64
pga5	1	1	190	4.501409530639648	30.6315789474	21.5558284372	98.0	10.0	33.73
pga5	1	1	200	4.761693716049194	29.9	21.250647049	98.0	10.0	34.42
pga5	1	1	210	5.156177759170532	29.6666666667	20.7647442357	98.0	10.0	36.62
pga5	1	1	220	5.534494161605835	33.4090909091	26.5649445885	112.0	10.0	38.49
pga5	1	1	230	5.789585590362549	32.7391304348	26.170373876	112.0	10.0	40.11
pga5	1	1	240	6.145958185195923	33.4166666667	25.8245952964	112.0	10.0	42.12
pga5	1	1	250	6.490282297134399	33.44	25.3030907203	112.0	10.0	43.07
pga5	1	1	260	6.955542325973511	32.7692307692	25.0373685216	112.0	10.0	44.75
pga5	1	1	270	7.466868877410889	33.4814814815	24.8363090989	112.0	10.0	46.86
pga5	1	1	280	7.880182504653931	34.0714285714	24.580666868	112.0	10.0	48.1
pga5	1	1	290	8.313383340835571	35.0	24.6478648442	112.0	10.0	50.67
pga5	1	1	300	8.757426500320435	35.4333333333	24.3456817983	112.0	10.0	53.85
pga5	1	1	310	9.342247724533081	35.935483871	24.1072007498	112.0	10.0	57.23
pga5	1	1	320	9.771360397338867	36.65625	24.0645088447	112.0	10.0	58.17
pga5	1	1	330	10.253129482269287	37.3333333333	24.0046291832	112.0	10.0	61.09
pga5	1	1	340	10.841408252716064	38.4705882353	24.5347715967	112.0	10.0	63.92
pga5	1	1	350	11.477099895477295	40.1714285714	26.1364394933	112.0	10.0	68.54
pga5	1	1	360	12.232756853103638	43.0833333333	30.9985438726	145.0	10.0	73.49
pga5	1	1	370	12.91846776008606	44.6486486486	31.9866663236	145.0	10.0	75.92
pga5	1	1	380	13.695834875106812	45.8947368421	32.4603316402	145.0	10.0	80.13
pga5	1	1	390	14.452518224716187	48.3846153846	35.5279704795	145.0	10.0	83.43
pga5	1	1	400	15.537092924118042	50.8	38.1865159448	145.0	10.0	90.6
pga5	1	1	410	16.683804988861084	51.4634146341	37.9506081837	145.0	10.0	97.03
pga5	1	1	420	17.647325038909912	51.4285714286	37.4967572294	145.0	10.0	103.74
pga5	1	1	430	18.69846749305725	52.1162790698	37.3252263984	145.0	10.0	110.53
pga5	1	1	440	19.83737587928772	55.4772727273	42.9796403367	200.0	10.0	117.14
pga5	1	1	450	21.113301038742065	57.0222222222	43.7175219837	200.0	10.0	123.98
pga5	1	1	460	22.278146266937256	57.3913043478	43.3105460904	200.0	10.0	127.98
pga5	1	1	470	23.66224956512451	58.7659574468	43.849943723	200.0	10.0	135.97
pga5	1	1	480	24.952276468276978	61.7083333333	47.8504433684	200.0	10.0	142.66
pga5	1	1	490	26.361491441726685	64.5306122449	51.2373835305	200.0	10.0	151.12
pga5	1	1	500	27.791131258010864	67.24	54.1522150978	200.0	10.0	156.09
pga5	1	1	510	29.004366159439087	68.5490196078	54.4117611729	200.0	10.0	157.13
pga5	1	1	520	30.474103212356567	71.0769230769	56.8296530647	200.0	10.0	164.12
pga5	1	1	530	31.95930504798889	73.5094339623	58.9606912998	200.0	10.0	170.51
pga5	1	1	540	33.48804450035095	75.8518518519	60.8505781973	200.0	10.0	175.36
pga5	1	1	550	34.99551582336426	78.1090909091	62.534840537	200.0	10.0	178.9
pga5	1	1	560	36.50910401344299	80.2857142857	64.0417593354	200.0	10.0	183.48
pga5	1	1	570	38.07630515098572	82.3859649123	65.3942844184	200.0	10.0	186.02
pga5	1	1	580	39.53705716133118	84.4137931034	66.611336532	200.0	10.0	189.29
pga5	1	1	590	40.98518371582031	86.3728813559	67.708722695	200.0	10.0	191.31
pga5	1	1	600	42.59624695777893	88.2666666667	68.6997978325	200.0	10.0	192.73
