Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn8	4	4	1	0.7140240669250488	21.5151515152	10.8770573453	53.0	9.0	0.999	21.5151515152	10.8770573453	20.5151515152
dqn8	4	4	2	0.7800178527832031	21.2352941176	10.8358306056	53.0	9.0	0.998001	21.2352941176	10.8358306056	20.2352941176
dqn8	4	4	3	0.8464603424072266	21.2	10.6818938931	53.0	9.0	0.997002999	21.2	10.6818938931	20.2
dqn8	4	4	4	0.9111354351043701	21.0555555556	10.5670989513	53.0	9.0	0.996005996001	21.0555555556	10.5670989513	20.0555555556
dqn8	4	4	5	0.9818563461303711	22.2702702703	12.7186788551	66.0	9.0	0.995009990004999	22.2702702703	12.7186788551	21.2702702703
dqn8	4	4	6	1.0479776859283447	22.2368421053	12.551859184	66.0	9.0	0.994014980014994	22.2368421053	12.551859184	21.2368421053
dqn8	4	4	7	1.1125261783599854	22.1538461538	12.4004517319	66.0	9.0	0.993020965034979	22.1538461538	12.4004517319	21.1538461538
dqn8	4	4	8	1.1765830516815186	21.975	12.2952988984	66.0	9.0	0.9920279440699441	21.975	12.2952988984	20.975
dqn8	4	4	9	1.2492170333862305	21.7317073171	12.2415214865	66.0	9.0	0.9910359161258742	21.7317073171	12.2415214865	20.7317073171
dqn8	4	4	10	1.3128762245178223	21.619047619	12.1164044269	66.0	9.0	0.9900448802097482	21.619047619	12.1164044269	20.619047619
dqn8	4	4	11	1.3779339790344238	21.6046511628	11.9750506818	66.0	9.0	0.9890548353295385	21.6046511628	11.9750506818	20.6046511628
dqn8	4	4	12	1.4444904327392578	21.4318181818	11.8923155618	66.0	9.0	0.988065780494209	21.4318181818	11.8923155618	20.4318181818
dqn8	4	4	13	1.5105020999908447	21.2	11.8595484269	66.0	9.0	0.9870777147137147	21.2	11.8595484269	20.2
dqn8	4	4	14	1.5747711658477783	21.1304347826	11.7392109498	66.0	9.0	0.986090636999001	21.1304347826	11.7392109498	20.1304347826
dqn8	4	4	15	1.6396112442016602	21.2340425532	11.6348938972	66.0	9.0	0.9851045463620021	21.2340425532	11.6348938972	20.2340425532
dqn8	4	4	16	1.710573434829712	21.1458333333	11.5289302469	66.0	9.0	0.98411944181564	21.1458333333	11.5289302469	20.1458333333
dqn8	4	4	17	1.7796084880828857	21.4285714286	11.5775997653	66.0	9.0	0.9831353223738244	21.4285714286	11.5775997653	20.4285714286
dqn8	4	4	18	1.8442564010620117	21.46	11.4633502956	66.0	9.0	0.9821521870514506	21.46	11.4633502956	20.46
dqn8	4	4	19	1.9080965518951416	21.3137254902	11.3974372697	66.0	9.0	0.9811700348643991	21.3137254902	11.3974372697	20.3137254902
dqn8	4	4	20	1.9735314846038818	21.1730769231	11.3319174049	66.0	9.0	0.9801888648295347	21.1730769231	11.3319174049	20.1730769231
dqn8	4	4	21	2.039790391921997	20.9811320755	11.3095227299	66.0	9.0	0.9792086759647052	20.9811320755	11.3095227299	19.9811320755
dqn8	4	4	22	2.1044158935546875	21.0185185185	11.2076209864	66.0	9.0	0.9782294672887405	21.0185185185	11.2076209864	20.0185185185
dqn8	4	4	23	2.1677703857421875	21.0181818182	11.105266415	66.0	9.0	0.9772512378214517	21.0181818182	11.105266415	20.0181818182
dqn8	4	4	24	2.2344918251037598	20.8928571429	11.0448413483	66.0	9.0	0.9762739865836303	20.8928571429	11.0448413483	19.8928571429
dqn8	4	4	25	2.2978312969207764	20.8771929825	10.9481556172	66.0	9.0	0.9752977125970467	20.8771929825	10.9481556172	19.8771929825
dqn8	4	4	26	2.362891674041748	20.8275862069	10.8598246176	66.0	9.0	0.9743224148844496	20.8275862069	10.8598246176	19.8275862069
dqn8	4	4	27	2.4286956787109375	20.8644067797	10.7710497531	66.0	9.0	0.9733480924695651	20.8644067797	10.7710497531	19.8644067797
dqn8	4	4	28	2.4959475994110107	21.2	10.9875687332	66.0	9.0	0.9723747443770956	21.2	10.9875687332	20.2
dqn8	4	4	29	2.561178684234619	21.0655737705	10.9467696447	66.0	9.0	0.9714023696327185	21.0655737705	10.9467696447	20.0655737705
dqn8	4	4	30	2.625087022781372	21.064516129	10.8581335171	66.0	9.0	0.9704309672630859	21.064516129	10.8581335171	20.064516129
dqn8	4	4	31	2.6895012855529785	20.9365079365	10.8186684858	66.0	9.0	0.9694605362958227	20.9365079365	10.8186684858	19.9365079365
dqn8	4	4	32	2.7576406002044678	20.9375	10.7338177621	66.0	9.0	0.9684910757595269	20.9375	10.7338177621	19.9375
dqn8	4	4	33	2.82490611076355	21.0307692308	10.6770339165	66.0	9.0	0.9675225846837673	21.0307692308	10.6770339165	20.0307692308
dqn8	4	4	34	2.8898932933807373	21.4696969697	11.1711474913	66.0	9.0	0.9665550620990835	21.4696969697	11.1711474913	20.4696969697
dqn8	4	4	35	2.956073522567749	21.4925373134	11.0890198944	66.0	9.0	0.9655885070369844	21.4925373134	11.0890198944	20.4925373134
dqn8	4	4	36	3.023684024810791	21.4558823529	11.0112693925	66.0	9.0	0.9646229185299474	21.4558823529	11.0112693925	20.4558823529
dqn8	4	4	37	3.087998628616333	21.4637681159	10.9313797877	66.0	9.0	0.9636582956114175	21.4637681159	10.9313797877	20.4637681159
dqn8	4	4	38	3.152745008468628	21.4142857143	10.8607982568	66.0	9.0	0.9626946373158061	21.4142857143	10.8607982568	20.4142857143
dqn8	4	4	39	3.2162206172943115	21.3943661972	10.7853302472	66.0	9.0	0.9617319426784903	21.3943661972	10.7853302472	20.3943661972
dqn8	4	4	40	3.2831788063049316	21.2638888889	10.7664513079	66.0	9.0	0.9607702107358118	21.2638888889	10.7664513079	20.2638888889
dqn8	4	4	41	3.354553699493408	21.2054794521	10.7039346294	66.0	9.0	0.959809440525076	21.2054794521	10.7039346294	20.2054794521
dqn8	4	4	42	3.4228672981262207	21.5135135135	10.9522837841	66.0	9.0	0.9588496310845509	21.5135135135	10.9522837841	20.5135135135
dqn8	4	4	43	3.497819185256958	21.5066666667	10.8791829759	66.0	9.0	0.9578907814534664	21.5066666667	10.8791829759	20.5066666667
dqn8	4	4	44	3.5676207542419434	21.7368421053	10.9896702947	66.0	9.0	0.9569328906720129	21.7368421053	10.9896702947	20.7368421053
dqn8	4	4	45	3.6369097232818604	21.7012987013	10.9224716948	66.0	9.0	0.9559759577813409	21.7012987013	10.9224716948	20.7012987013
dqn8	4	4	46	3.7068216800689697	21.6153846154	10.8783845535	66.0	9.0	0.9550199818235596	21.6153846154	10.8783845535	20.6153846154
dqn8	4	4	47	3.7734620571136475	21.6835443038	10.8260636087	66.0	9.0	0.9540649618417361	21.6835443038	10.8260636087	20.6835443038
dqn8	4	4	48	3.843776226043701	22.1	11.3771701227	66.0	9.0	0.9531108968798944	22.1	11.3771701227	21.1
dqn8	4	4	49	3.9090025424957275	22.1604938272	11.3196614595	66.0	9.0	0.9521577859830145	22.1604938272	11.3196614595	21.1604938272
dqn8	4	4	50	3.97564959526062	22.0975609756	11.2646758001	66.0	9.0	0.9512056281970315	22.0975609756	11.2646758001	21.0975609756
dqn8	4	4	51	4.042118549346924	21.9518072289	11.2741346094	66.0	9.0	0.9502544225688344	21.9518072289	11.2741346094	20.9518072289
dqn8	4	4	52	4.106073617935181	21.8928571429	11.2196870523	66.0	9.0	0.9493041681462656	21.8928571429	11.2196870523	20.8928571429
dqn8	4	4	53	4.1782920360565186	21.8	11.1859155138	66.0	9.0	0.9483548639781193	21.8	11.1859155138	20.8
dqn8	4	4	54	4.243050575256348	21.8953488372	11.1553815043	66.0	9.0	0.9474065091141411	21.8953488372	11.1553815043	20.8953488372
dqn8	4	4	55	4.30658745765686	22.1034482759	11.2577273413	66.0	9.0	0.946459102605027	22.1034482759	11.2577273413	21.1034482759
dqn8	4	4	56	4.371153831481934	22.0568181818	11.202026962	66.0	9.0	0.9455126435024219	22.0568181818	11.202026962	21.0568181818
dqn8	4	4	57	4.43987512588501	22.0337078652	11.141025953	66.0	9.0	0.9445671308589195	22.0337078652	11.141025953	21.0337078652
dqn8	4	4	58	4.50696873664856	21.9	11.1505356124	66.0	9.0	0.9436225637280606	21.9	11.1505356124	20.9
dqn8	4	4	59	4.57207179069519	21.8791208791	11.0908685981	66.0	9.0	0.9426789411643326	21.8791208791	11.0908685981	20.8791208791
dqn8	4	4	60	4.6358301639556885	21.7717391304	11.077889515	66.0	9.0	0.9417362622231683	21.7717391304	11.077889515	20.7717391304
dqn8	4	4	61	4.704491138458252	21.6989247312	11.0402829813	66.0	9.0	0.9407945259609451	21.6989247312	11.0402829813	20.6989247312
dqn8	4	4	62	4.770694971084595	21.585106383	11.0361201694	66.0	9.0	0.9398537314349842	21.585106383	11.0361201694	20.585106383
dqn8	4	4	63	4.837015151977539	21.4526315789	11.052761904	66.0	9.0	0.9389138777035492	21.4526315789	11.052761904	20.4526315789
dqn8	4	4	64	4.9020302295684814	21.3333333333	11.0563581507	66.0	9.0	0.9379749638258457	21.3333333333	11.0563581507	20.3333333333
dqn8	4	4	65	4.968964576721191	21.206185567	11.0695441234	66.0	9.0	0.9370369888620198	21.206185567	11.0695441234	20.206185567
dqn8	4	4	66	5.035996198654175	21.1428571429	11.0305697671	66.0	9.0	0.9360999518731578	21.1428571429	11.0305697671	20.1428571429
dqn8	4	4	67	5.1014838218688965	21.2424242424	11.0188918663	66.0	9.0	0.9351638519212846	21.2424242424	11.0188918663	20.2424242424
dqn8	4	4	68	5.1658079624176025	21.31	10.9842569162	66.0	9.0	0.9342286880693633	21.31	10.9842569162	20.31
dqn8	4	4	69	5.236180782318115	21.297029703	10.9305137021	66.0	9.0	0.933294459381294	21.297029703	10.9305137021	20.35
dqn8	4	4	70	5.2994983196258545	21.1862745098	10.9336056806	66.0	9.0	0.9323611649219127	21.1862745098	10.9336056806	20.14
dqn8	4	4	71	5.364721298217773	21.1067961165	10.9099692731	66.0	9.0	0.9314288037569908	21.1067961165	10.9099692731	20.1
dqn8	4	4	72	5.4303977489471436	21.0673076923	10.8647847009	66.0	9.0	0.9304973749532338	21.0673076923	10.8647847009	20.11
dqn8	4	4	73	5.504986763000488	20.980952381	10.8487268969	66.0	9.0	0.9295668775782806	20.980952381	10.8487268969	20.13
dqn8	4	4	74	5.56953501701355	21.1037735849	10.8705324767	66.0	9.0	0.9286373107007023	21.1037735849	10.8705324767	20.38
dqn8	4	4	75	5.636571168899536	21.0280373832	10.8476776824	66.0	9.0	0.9277086733900016	21.0280373832	10.8476776824	20.36
dqn8	4	4	76	5.701902866363525	20.962962963	10.8183023296	66.0	9.0	0.9267809647166116	20.962962963	10.8183023296	20.31
dqn8	4	4	77	5.772641897201538	21.0091743119	10.779266041	66.0	9.0	0.925854183751895	21.0091743119	10.779266041	20.34
dqn8	4	4	78	5.837892770767212	20.9272727273	10.7641738195	66.0	9.0	0.9249283295681431	20.9272727273	10.7641738195	19.93
dqn8	4	4	79	5.900745630264282	20.8288288288	10.7652041016	66.0	9.0	0.9240034012385749	20.8288288288	10.7652041016	19.9
dqn8	4	4	80	5.965825319290161	20.7767857143	10.7310545859	66.0	9.0	0.9230793978373364	20.7767857143	10.7310545859	19.91
dqn8	4	4	81	6.0331032276153564	20.8407079646	10.7048631506	66.0	9.0	0.9221563184394991	20.8407079646	10.7048631506	19.72
dqn8	4	4	82	6.096900224685669	20.7543859649	10.6972380461	66.0	9.0	0.9212341621210596	20.7543859649	10.6972380461	19.66
dqn8	4	4	83	6.160393476486206	20.747826087	10.6508570615	66.0	9.0	0.9203129279589385	20.747826087	10.6508570615	19.7
dqn8	4	4	84	6.2249369621276855	20.7155172414	10.6105071822	66.0	9.0	0.9193926150309796	20.7155172414	10.6105071822	19.71
dqn8	4	4	85	6.292140245437622	20.8803418803	10.7131697793	66.0	9.0	0.9184732224159486	20.8803418803	10.7131697793	19.86
dqn8	4	4	86	6.357729434967041	20.8220338983	10.6863062667	66.0	9.0	0.9175547491935327	20.8220338983	10.6863062667	19.56
dqn8	4	4	87	6.421762943267822	20.731092437	10.687067091	66.0	9.0	0.9166371944443392	20.731092437	10.687067091	19.37
dqn8	4	4	88	6.485480308532715	20.6416666667	10.6870605823	66.0	9.0	0.9157205572498949	20.6416666667	10.6870605823	19.16
dqn8	4	4	89	6.554863452911377	20.6115702479	10.6479128447	66.0	9.0	0.914804836692645	20.6115702479	10.6479128447	18.92
dqn8	4	4	90	6.618930101394653	20.6721311475	10.6250883298	66.0	9.0	0.9138900318559524	20.6721311475	10.6250883298	19.0
dqn8	4	4	91	6.683840274810791	20.7317073171	10.6022494704	66.0	9.0	0.9129761418240965	20.7317073171	10.6022494704	19.18
dqn8	4	4	92	6.7473273277282715	20.7177419355	10.5605477649	66.0	9.0	0.9120631656822724	20.7177419355	10.5605477649	19.18
dqn8	4	4	93	6.816837310791016	20.728	10.5188410008	66.0	9.0	0.9111511025165902	20.728	10.5188410008	19.22
dqn8	4	4	94	6.885728120803833	21.2301587302	11.8864753733	84.0	9.0	0.9102399514140735	21.2301587302	11.8864753733	19.88
dqn8	4	4	95	6.950212240219116	21.2204724409	11.8400849818	84.0	9.0	0.9093297114626595	21.2204724409	11.8400849818	19.98
dqn8	4	4	96	7.017383575439453	21.3671875	11.9090768257	84.0	9.0	0.9084203817511969	21.3671875	11.9090768257	20.25
dqn8	4	4	97	7.084184646606445	21.3178294574	11.8759639322	84.0	9.0	0.9075119613694457	21.3178294574	11.8759639322	20.21
dqn8	4	4	98	7.147900581359863	21.3307692308	11.8311118286	84.0	9.0	0.9066044494080763	21.3307692308	11.8311118286	20.19
dqn8	4	4	99	7.212665557861328	21.2748091603	11.8031264037	84.0	9.0	0.9056978449586682	21.2748091603	11.8031264037	20.14
dqn8	4	4	100	7.282924652099609	21.2424242424	11.7641734066	84.0	9.0	0.9047921471137096	21.2424242424	11.7641734066	20.06
dqn8	4	4	101	7.347949266433716	21.1654135338	11.7532145346	84.0	9.0	0.9038873549665959	21.1654135338	11.7532145346	20.05
dqn8	4	4	102	7.413632154464722	21.1343283582	11.714763644	84.0	9.0	0.9029834676116293	21.1343283582	11.714763644	20.1
dqn8	4	4	103	7.4789814949035645	21.0962962963	11.679595423	84.0	9.0	0.9020804841440176	21.0962962963	11.679595423	20.06
dqn8	4	4	104	7.546079874038696	21.1617647059	11.6614123528	84.0	9.0	0.9011784036598737	21.1617647059	11.6614123528	20.2
dqn8	4	4	105	7.610588073730469	21.0948905109	11.6449188266	84.0	9.0	0.9002772252562138	21.0948905109	11.6449188266	19.66
dqn8	4	4	106	7.679253339767456	21.2101449275	11.6808110316	84.0	9.0	0.8993769480309576	21.2101449275	11.6808110316	19.82
dqn8	4	4	107	7.745328187942505	21.1366906475	11.6706613887	84.0	9.0	0.8984775710829266	21.1366906475	11.6706613887	19.74
dqn8	4	4	108	7.810912132263184	21.1642857143	11.6334558889	84.0	9.0	0.8975790935118436	21.1642857143	11.6334558889	19.84
dqn8	4	4	109	7.878100633621216	21.2836879433	11.6779031448	84.0	9.0	0.8966815144183318	21.2836879433	11.6779031448	20.1
dqn8	4	4	110	7.94450044631958	21.4788732394	11.8652755943	84.0	9.0	0.8957848329039134	21.4788732394	11.8652755943	20.42
dqn8	4	4	111	8.007946014404297	21.4195804196	11.844808008	84.0	9.0	0.8948890480710096	21.4195804196	11.844808008	20.34
dqn8	4	4	112	8.076059103012085	21.4305555556	11.8043381725	84.0	9.0	0.8939941590229386	21.4305555556	11.8043381725	20.43
dqn8	4	4	113	8.140583992004395	21.4137931034	11.7652827725	84.0	9.0	0.8931001648639156	21.4137931034	11.7652827725	20.51
dqn8	4	4	114	8.209003448486328	21.3493150685	11.7506003727	84.0	9.0	0.8922070646990518	21.3493150685	11.7506003727	20.45
dqn8	4	4	115	8.27339482307434	21.306122449	11.7221879531	84.0	9.0	0.8913148576343527	21.306122449	11.7221879531	20.34
dqn8	4	4	116	8.340308904647827	21.2972972973	11.6830088333	84.0	9.0	0.8904235427767183	21.2972972973	11.6830088333	20.37
dqn8	4	4	117	8.407278299331665	21.2483221477	11.6589718544	84.0	9.0	0.8895331192339416	21.2483221477	11.6589718544	20.16
dqn8	4	4	118	8.472796201705933	21.4133333333	11.7933239118	84.0	9.0	0.8886435861147077	21.4133333333	11.7933239118	20.39
dqn8	4	4	119	8.536576986312866	21.4039735099	11.7547672775	84.0	9.0	0.887754942528593	21.4039735099	11.7547672775	20.45
dqn8	4	4	120	8.603605031967163	21.3947368421	11.7165862499	84.0	9.0	0.8868671875860644	21.3947368421	11.7165862499	20.51
dqn8	4	4	121	8.668455362319946	21.339869281	11.6978090785	84.0	9.0	0.8859803203984784	21.339869281	11.6978090785	20.53
dqn8	4	4	122	8.741916179656982	21.4805194805	11.7888461368	84.0	9.0	0.88509434007808	21.4805194805	11.7888461368	20.73
dqn8	4	4	123	8.816603899002075	21.4129032258	11.78067696	84.0	9.0	0.8842092457380019	21.4129032258	11.78067696	20.63
dqn8	4	4	124	8.884426355361938	21.3653846154	11.7577506017	84.0	9.0	0.8833250364922639	21.3653846154	11.7577506017	20.63
dqn8	4	4	125	8.949261665344238	21.3248407643	11.7311803808	84.0	9.0	0.8824417114557717	21.3248407643	11.7311803808	20.58
dqn8	4	4	126	9.01505422592163	21.3607594937	11.7026548727	84.0	9.0	0.8815592697443159	21.3607594937	11.7026548727	20.67
dqn8	4	4	127	9.082798957824707	21.3522012579	11.6662920145	84.0	9.0	0.8806777104745716	21.3522012579	11.6662920145	20.64
dqn8	4	4	128	9.147896766662598	21.29375	11.6531094965	84.0	9.0	0.8797970327640969	21.29375	11.6531094965	20.35
dqn8	4	4	129	9.213016271591187	21.2173913043	11.6569472007	84.0	9.0	0.8789172357313328	21.2173913043	11.6569472007	20.31
dqn8	4	4	130	9.278573274612427	21.2345679012	11.6229568548	84.0	9.0	0.8780383184956015	21.2345679012	11.6229568548	20.34
dqn8	4	4	131	9.34755277633667	21.226993865	11.5876497686	84.0	9.0	0.8771602801771059	21.226993865	11.5876497686	20.41
dqn8	4	4	132	9.414127826690674	21.2134146341	11.5535683665	84.0	9.0	0.8762831198969288	21.2134146341	11.5535683665	20.39
dqn8	4	4	133	9.479022026062012	21.1757575758	11.5285950234	84.0	9.0	0.8754068367770318	21.1757575758	11.5285950234	20.27
dqn8	4	4	134	9.543648719787598	21.1024096386	11.5323690698	84.0	9.0	0.8745314299402548	21.1024096386	11.5323690698	19.86
dqn8	4	4	135	9.6100332736969	21.0479041916	11.519215076	84.0	9.0	0.8736568985103146	21.0479041916	11.519215076	19.75
dqn8	4	4	136	9.674658298492432	21.0357142857	11.4859608182	84.0	9.0	0.8727832416118043	21.0357142857	11.4859608182	19.75
dqn8	4	4	137	9.742081880569458	21.0887573964	11.4725472786	84.0	9.0	0.8719104583701925	21.0887573964	11.4725472786	19.83
dqn8	4	4	138	9.80591368675232	21.1352941176	11.4547416936	84.0	9.0	0.8710385479118223	21.1352941176	11.4547416936	19.94
dqn8	4	4	139	9.876058578491211	21.1520467836	11.4232876904	84.0	9.0	0.8701675093639105	21.1520467836	11.4232876904	19.98
dqn8	4	4	140	9.940768003463745	21.1686046512	11.3920898876	84.0	9.0	0.8692973418545467	21.1686046512	11.3920898876	20.1
dqn8	4	4	141	10.004692554473877	21.1098265896	11.385243795	84.0	9.0	0.8684280445126921	21.1098265896	11.385243795	20.04
dqn8	4	4	142	10.073606729507446	21.0804597701	11.3590496514	84.0	9.0	0.8675596164681794	21.0804597701	11.3590496514	19.76
dqn8	4	4	143	10.1441650390625	21.0285714286	11.3472103917	84.0	9.0	0.8666920568517111	21.0285714286	11.3472103917	19.67
dqn8	4	4	144	10.211043357849121	21.1647727273	11.457486038	84.0	9.0	0.8658253647948594	21.1647727273	11.457486038	19.73
dqn8	4	4	145	10.275168657302856	21.1129943503	11.4457058074	84.0	9.0	0.8649595394300645	21.1129943503	11.4457058074	19.66
dqn8	4	4	146	10.337553977966309	21.0842696629	11.4199057325	84.0	9.0	0.8640945798906344	21.0842696629	11.4199057325	19.67
dqn8	4	4	147	10.407114028930664	21.0837988827	11.3879636098	84.0	9.0	0.8632304853107438	21.0837988827	11.3879636098	19.61
dqn8	4	4	148	10.474063158035278	21.0944444444	11.3571794338	84.0	9.0	0.862367254825433	21.0944444444	11.3571794338	19.29
