Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga9	5	5	5	0.13570213317871094	41.0	0.0	41.0	41.0	32.8
pga9	5	5	10	0.2097327709197998	33.0	8.0	41.0	25.0	26.6
pga9	5	5	15	0.31169700622558594	36.0	7.7888809637	42.0	25.0	27.6666666667
pga9	5	5	20	0.44936394691467285	33.0	8.51469318296	42.0	24.0	30.7
pga9	5	5	25	0.5993118286132812	35.2	8.79545337092	44.0	24.0	33.44
pga9	5	5	30	0.7474222183227539	42.5	18.1911150474	79.0	24.0	35.0
pga9	5	5	35	0.9000236988067627	43.4285714286	16.9945969805	79.0	24.0	36.4857142857
pga9	5	5	40	1.010106086730957	41.0	17.1464281995	79.0	24.0	35.9
pga9	5	5	45	1.2384295463562012	40.5555555556	16.2146100862	79.0	24.0	39.5777777778
pga9	5	5	50	1.4453003406524658	43.2	17.3078017091	79.0	24.0	41.82
pga9	5	5	55	1.614504337310791	41.0	17.9088601739	79.0	19.0	42.6
pga9	5	5	60	1.8234620094299316	45.0	21.6794833887	89.0	19.0	44.1833333333
pga9	5	5	65	2.00150990486145	45.6923076923	20.9665837259	89.0	19.0	44.8769230769
pga9	5	5	70	2.2406466007232666	45.9285714286	20.22185623	89.0	19.0	46.8
pga9	5	5	75	2.384052038192749	44.2666666667	20.501924029	89.0	19.0	46.4533333333
pga9	5	5	80	2.603878974914551	45.5625	20.4754998413	89.0	19.0	47.675
pga9	5	5	85	2.887943744659424	46.3529411765	20.1142067922	89.0	19.0	49.8705882353
pga9	5	5	90	3.1668882369995117	48.2222222222	21.0120482781	89.0	19.0	51.7555555556
pga9	5	5	95	3.370666265487671	47.3157894737	20.8100497776	89.0	19.0	52.2526315789
pga9	5	5	100	3.670053243637085	49.15	21.8020067884	89.0	19.0	54.15
pga9	5	5	105	4.0391621589660645	53.0952380952	27.6403858458	132.0	19.0	58.15
pga9	5	5	110	4.264069080352783	51.3181818182	28.2060379797	132.0	14.0	60.42
pga9	5	5	115	4.623618125915527	54.7391304348	31.9132211818	132.0	14.0	64.31
pga9	5	5	120	4.913562536239624	57.2916666667	33.5540349867	132.0	14.0	66.7
pga9	5	5	125	5.273406744003296	59.04	33.9734955517	132.0	14.0	69.85
pga9	5	5	130	5.578571557998657	59.0384615385	33.3137541117	132.0	14.0	72.26
pga9	5	5	135	5.957428693771362	60.1481481481	33.1770823441	132.0	14.0	75.65
pga9	5	5	140	6.327436447143555	61.9285714286	33.8673131199	132.0	14.0	79.51
pga9	5	5	145	6.6956257820129395	62.7586206897	33.5668711601	132.0	14.0	81.77
pga9	5	5	150	7.0465638637542725	64.2	33.9031955229	132.0	14.0	84.06
pga9	5	5	155	7.527700662612915	65.2258064516	33.8218384093	132.0	14.0	88.75
pga9	5	5	160	7.946573972702026	65.96875	33.545197472	132.0	14.0	92.04
pga9	5	5	165	8.409167289733887	70.0303030303	40.2375407771	200.0	14.0	96.41
pga9	5	5	170	8.836880922317505	70.5	39.7331170214	200.0	14.0	99.25
pga9	5	5	175	9.282802104949951	71.5142857143	39.6054624144	200.0	14.0	103.91
pga9	5	5	180	9.83038854598999	75.0833333333	44.3943033132	200.0	14.0	108.94
pga9	5	5	185	10.33086895942688	78.4594594595	48.2485650786	200.0	14.0	112.29
pga9	5	5	190	10.855151891708374	81.6578947368	51.4312399002	200.0	14.0	115.98
pga9	5	5	195	11.402260065078735	84.6923076923	54.1039615812	200.0	14.0	121.06
pga9	5	5	200	12.002658605575562	87.575	56.3750332594	200.0	14.0	125.7
pga9	5	5	205	12.726698875427246	89.6585365854	57.2212691806	200.0	14.0	129.74
pga9	5	5	210	13.42293381690979	92.0714285714	58.6090326441	200.0	14.0	135.81
pga9	5	5	215	13.972571849822998	91.3953488372	58.0890012945	200.0	14.0	138.82
pga9	5	5	220	14.548336029052734	93.8636363636	59.6625323683	200.0	14.0	143.15
pga9	5	5	225	15.175976753234863	95.9555555556	60.6058140062	200.0	14.0	147.33
pga9	5	5	230	15.7931067943573	96.847826087	60.2415310271	200.0	14.0	152.1
pga9	5	5	235	16.404226779937744	99.0425531915	61.4280265396	200.0	14.0	155.68
