Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga4	4	4	10	0.1183626651763916	15.0	0.0	15.0	15.0	15.4
pga4	4	4	20	0.2181410789489746	16.5	1.5	18.0	15.0	15.15
pga4	4	4	30	0.3037450313568115	16.0	1.41421356237	18.0	15.0	14.4666666667
pga4	4	4	40	0.41191601753234863	14.5	2.87228132327	18.0	10.0	14.8
pga4	4	4	50	0.5324897766113281	14.6	2.57681974535	18.0	10.0	15.52
pga4	4	4	60	0.6585021018981934	18.0	7.95822425754	35.0	10.0	16.2166666667
pga4	4	4	70	0.8887450695037842	18.7142857143	7.5727761604	35.0	10.0	19.2571428571
pga4	4	4	80	1.0679328441619873	18.125	7.2532320382	35.0	10.0	20.425
pga4	4	4	90	1.1821200847625732	17.3333333333	7.19567771497	35.0	10.0	20.0444444444
pga4	4	4	100	1.3958745002746582	17.4	6.82934843159	35.0	10.0	21.25
pga4	4	4	110	1.6784651279449463	18.4545454545	7.31578165045	35.0	10.0	23.42
pga4	4	4	120	1.9092442989349365	18.9166666667	7.17005733744	35.0	10.0	25.21
pga4	4	4	130	2.1063191890716553	18.5384615385	7.01224626159	35.0	10.0	27.01
pga4	4	4	140	2.2952587604522705	19.2857142857	7.27450117513	35.0	10.0	28.41
pga4	4	4	150	2.485633373260498	19.3333333333	7.03009404078	35.0	10.0	29.61
pga4	4	4	160	2.7402024269104004	20.25	7.67707626639	35.0	10.0	31.81
pga4	4	4	170	3.005692958831787	22.2352941176	10.8872802835	54.0	10.0	32.37
pga4	4	4	180	3.4006237983703613	25.5555555556	17.3019659198	82.0	10.0	36.21
pga4	4	4	190	3.620939016342163	27.1578947368	18.1608693216	82.0	10.0	38.09
pga4	4	4	200	3.918278455734253	29.1	19.6211620451	82.0	10.0	39.8
pga4	4	4	210	4.2188544273376465	31.9523809524	23.0082308057	89.0	10.0	41.12
pga4	4	4	220	4.490987062454224	33.4090909091	23.4494797207	89.0	10.0	42.24
