Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga3	4	4	10	0.16551685333251953	16.0	0.0	16.0	16.0	19.5
pga3	4	4	20	0.34845876693725586	21.0	5.0	26.0	16.0	22.5
pga3	4	4	30	0.5562601089477539	19.3333333333	4.71404520791	26.0	16.0	24.6666666667
pga3	4	4	40	0.7590122222900391	24.25	9.44391338376	39.0	16.0	25.35
pga3	4	4	50	1.036698818206787	26.4	9.47839648886	39.0	16.0	28.02
pga3	4	4	60	1.2864065170288086	29.3333333333	10.8576649833	44.0	16.0	29.1
pga3	4	4	70	1.4759728908538818	37.1428571429	21.6097105912	84.0	16.0	28.8142857143
pga3	4	4	80	1.700958251953125	41.625	23.4357499347	84.0	16.0	29.0875
pga3	4	4	90	1.946531057357788	40.4444444444	22.34632016	84.0	16.0	29.6222222222
pga3	4	4	100	2.202082633972168	38.6	21.9098151521	84.0	16.0	30.33
pga3	4	4	110	2.504831552505493	39.0909090909	20.9477902738	84.0	16.0	32.67
pga3	4	4	120	2.7628865242004395	38.8333333333	20.0741680331	84.0	16.0	33.79
pga3	4	4	130	3.066288948059082	47.6923076923	36.2457098053	154.0	16.0	35.19
pga3	4	4	140	3.3237483501434326	47.9285714286	34.9376266381	154.0	16.0	36.09
pga3	4	4	150	3.555995464324951	45.8	34.6798692808	154.0	16.0	35.47
pga3	4	4	160	3.7788407802581787	44.6875	33.8539487172	154.0	16.0	35.05
pga3	4	4	170	4.0346338748931885	45.0588235294	32.876722658	154.0	16.0	35.97
pga3	4	4	180	4.490999937057495	46.5	32.4982905533	154.0	16.0	39.05
pga3	4	4	190	4.901390075683594	44.9473684211	32.3101315122	154.0	16.0	41.62
pga3	4	4	200	5.273603439331055	47.8	33.8579385078	154.0	16.0	42.42
pga3	4	4	210	5.669574022293091	50.380952381	34.9999676061	154.0	16.0	43.88
pga3	4	4	220	6.101901292800903	51.5454545455	34.6091518017	154.0	16.0	46.6
pga3	4	4	230	6.475090265274048	50.6086956522	34.1324009403	154.0	16.0	47.71
pga3	4	4	240	6.777649402618408	49.25	34.0431711214	154.0	16.0	48.48
pga3	4	4	250	7.331494092941284	52.6	37.1741845909	154.0	16.0	53.52
pga3	4	4	260	7.708978176116943	52.1538461538	36.5204814061	154.0	16.0	55.95
pga3	4	4	270	8.222125768661499	54.7407407407	38.1882205928	154.0	16.0	59.85
pga3	4	4	280	8.707078218460083	57.4642857143	40.0815972583	154.0	16.0	60.74
pga3	4	4	290	9.25978136062622	57.7931034483	39.4228878999	154.0	16.0	62.74
pga3	4	4	300	9.765247344970703	57.8666666667	38.7622955403	154.0	16.0	65.67
pga3	4	4	310	10.472810506820679	59.6129032258	39.3131984891	154.0	16.0	70.39
pga3	4	4	320	10.946620225906372	59.40625	38.7111574477	154.0	16.0	70.93
pga3	4	4	330	11.476588249206543	59.5454545455	38.1282452442	154.0	16.0	73.23
pga3	4	4	340	12.102650165557861	62.4705882353	41.1505380525	159.0	16.0	77.95
pga3	4	4	350	12.72504711151123	63.0571428571	40.7023641694	159.0	16.0	78.51
pga3	4	4	360	13.359037399291992	65.0555555556	41.8382762315	159.0	16.0	81.67
pga3	4	4	370	14.183201313018799	65.4324324324	41.3309258864	159.0	16.0	85.64
pga3	4	4	380	14.809767723083496	64.3947368421	41.2690399272	159.0	16.0	87.24
pga3	4	4	390	15.515551090240479	66.0769230769	42.0356287314	159.0	16.0	89.26
pga3	4	4	400	16.338277339935303	66.05	41.5071981709	159.0	16.0	93.28
pga3	4	4	410	17.419612407684326	68.9024390244	44.7915523819	183.0	16.0	97.14
pga3	4	4	420	18.447230100631714	71.2619047619	46.7628564058	183.0	16.0	103.25
pga3	4	4	430	19.363344430923462	70.5813953488	46.4258511378	183.0	16.0	107.9
pga3	4	4	440	20.432915449142456	71.4772727273	46.2697076618	183.0	16.0	111.91
pga3	4	4	450	21.394604921340942	71.9777777778	45.8730077443	183.0	16.0	113.75
pga3	4	4	460	22.430623054504395	74.1739130435	47.703479204	183.0	16.0	120.08
pga3	4	4	470	23.550757884979248	76.8510638298	50.5657266499	200.0	16.0	124.25
pga3	4	4	480	24.45194387435913	77.6666666667	50.3476800745	200.0	16.0	128.87
pga3	4	4	490	25.39566397666931	79.6326530612	51.6592816709	200.0	16.0	132.94
pga3	4	4	500	26.43728494644165	82.04	53.8449477667	200.0	16.0	136.94
pga3	4	4	510	27.530866622924805	83.3725490196	54.1406884737	200.0	16.0	137.71
pga3	4	4	520	28.46560788154602	84.4038461538	54.1210394235	200.0	16.0	138.39
pga3	4	4	530	29.87429141998291	86.5849056604	55.8675772453	200.0	16.0	141.8
pga3	4	4	540	30.976574182510376	87.6851851852	55.924494095	200.0	16.0	144.39
pga3	4	4	550	32.14043140411377	88.3636363636	55.637581686	200.0	16.0	150.87
pga3	4	4	560	33.21965289115906	89.2678571429	55.5448631646	200.0	16.0	150.74
pga3	4	4	570	34.334532022476196	89.2807017544	55.0555554779	200.0	16.0	151.58
pga3	4	4	580	35.50903582572937	91.1896551724	56.449689806	200.0	16.0	155.32
pga3	4	4	590	37.0195791721344	93.0338983051	57.7046736355	200.0	16.0	159.11
pga3	4	4	600	38.16040086746216	94.8166666667	58.8374856892	200.0	16.0	159.32
pga3	4	4	610	39.36513638496399	96.1475409836	59.2568280815	200.0	16.0	159.72
pga3	4	4	620	40.47012972831726	96.935483871	59.0982972758	200.0	16.0	161.6
pga3	4	4	630	41.7093710899353	98.4444444444	59.8192456629	200.0	16.0	163.1
pga3	4	4	640	42.92746186256409	99.9375	60.5216580552	200.0	16.0	163.14
pga3	4	4	650	44.236215591430664	100.815384615	60.4635662216	200.0	16.0	160.85
pga3	4	4	660	45.384928703308105	99.9696969697	60.389887197	200.0	16.0	160.17
pga3	4	4	670	46.566834688186646	100.507462687	60.0965325779	200.0	16.0	157.78
pga3	4	4	680	47.725192070007324	101.970588235	60.8433307738	200.0	16.0	156.33
pga3	4	4	690	49.01064896583557	103.391304348	61.526527186	200.0	16.0	154.68
pga3	4	4	700	50.05115103721619	104.314285714	61.5647261848	200.0	16.0	154.03
pga3	4	4	710	51.21800661087036	105.661971831	62.1608417253	200.0	16.0	155.2
pga3	4	4	720	52.36592125892639	106.916666667	62.6264831273	200.0	16.0	155.81
pga3	4	4	730	53.52297377586365	107.356164384	62.3077580128	200.0	16.0	154.82
pga3	4	4	740	54.70926094055176	107.567567568	61.9116810096	200.0	16.0	154.76
pga3	4	4	750	56.083115339279175	108.8	62.4047006776	200.0	16.0	158.04
pga3	4	4	760	57.50941729545593	110.0	62.8578178364	200.0	16.0	163.1
pga3	4	4	770	58.93627905845642	111.168831169	63.2741720348	200.0	16.0	168.42
pga3	4	4	780	60.15166354179382	112.307692308	63.6565922407	200.0	16.0	169.56
pga3	4	4	790	61.48355674743652	112.64556962	63.3227693115	200.0	16.0	170.98
pga3	4	4	800	62.79150748252869	113.7375	63.6698012699	200.0	16.0	173.31
pga3	4	4	810	64.06380414962769	114.802469136	63.9885058647	200.0	16.0	174.0
pga3	4	4	820	65.51720309257507	115.841463415	64.2809135106	200.0	16.0	175.75
pga3	4	4	830	66.81058621406555	116.855421687	64.5488761356	200.0	16.0	176.15
pga3	4	4	840	68.29022431373596	117.166666667	64.2261320005	200.0	16.0	178.89
pga3	4	4	850	69.62650680541992	118.141176471	64.4688986468	200.0	16.0	177.59
pga3	4	4	860	70.84910440444946	119.093023256	64.690969843	200.0	16.0	173.49
pga3	4	4	870	72.26716208457947	119.804597701	64.6557353743	200.0	16.0	173.18
pga3	4	4	880	73.69886827468872	120.670454545	64.7926275251	200.0	16.0	173.99
pga3	4	4	890	74.87395143508911	121.561797753	64.9679186268	200.0	16.0	173.47
pga3	4	4	900	76.243807554245	122.433333333	65.1270638402	200.0	16.0	175.3
pga3	4	4	910	77.45294189453125	122.747252747	64.8366660284	200.0	16.0	175.6
pga3	4	4	920	78.99118113517761	123.586956522	64.9789518051	200.0	16.0	175.07
pga3	4	4	930	80.4611668586731	124.408602151	65.1073945818	200.0	16.0	178.24
pga3	4	4	940	82.1393973827362	125.191489362	65.1987593858	200.0	16.0	178.82
pga3	4	4	950	83.4743902683258	125.978947368	65.3025314166	200.0	16.0	180.68
pga3	4	4	960	84.88865852355957	126.75	65.394794645	200.0	16.0	184.91
pga3	4	4	970	86.34215998649597	127.505154639	65.4762290558	200.0	16.0	183.37
pga3	4	4	980	87.67964386940002	128.163265306	65.4629812632	200.0	16.0	183.73
pga3	4	4	990	89.16531705856323	128.515151515	65.2246101593	200.0	16.0	186.17
pga3	4	4	1000	90.60649299621582	129.23	65.286270379	200.0	16.0	186.5
pga3	4	4	1010	91.90174293518066	129.930693069	65.3390634793	200.0	16.0	186.41
pga3	4	4	1020	93.25576543807983	130.617647059	65.3834907683	200.0	16.0	186.79
pga3	4	4	1030	94.72305035591125	131.291262136	65.4200217368	200.0	16.0	186.77
pga3	4	4	1040	96.13597393035889	131.807692308	65.3153705734	200.0	16.0	186.43
pga3	4	4	1050	97.5687460899353	132.457142857	65.3401398648	200.0	16.0	186.69
pga3	4	4	1060	98.91785836219788	133.094339623	65.3581610302	200.0	16.0	185.5
pga3	4	4	1070	100.32624411582947	133.495327103	65.1829020973	200.0	16.0	186.25
pga3	4	4	1080	101.73285055160522	134.064814815	65.1473078873	200.0	16.0	187.64
pga3	4	4	1090	103.12914752960205	134.211009174	64.8655735432	200.0	16.0	187.13
pga3	4	4	1100	104.57878613471985	134.809090909	64.8712704942	200.0	16.0	185.96
pga3	4	4	1110	106.15795350074768	135.396396396	64.8714986598	200.0	16.0	187.46
pga3	4	4	1120	107.6354775428772	135.973214286	64.8665470438	200.0	16.0	188.9
pga3	4	4	1130	109.06386017799377	136.539823009	64.8566882214	200.0	16.0	187.62
pga3	4	4	1140	110.59109139442444	137.096491228	64.8421794305	200.0	16.0	188.67
pga3	4	4	1150	112.02066421508789	137.643478261	64.8232635783	200.0	16.0	187.97
pga3	4	4	1160	113.5801796913147	138.181034483	64.8001701703	200.0	16.0	188.58
pga3	4	4	1170	115.05991792678833	138.709401709	64.7731161692	200.0	16.0	190.04
pga3	4	4	1180	116.46028351783752	139.228813559	64.7423067895	200.0	16.0	190.04
pga3	4	4	1190	117.91492033004761	139.739495798	64.7079362328	200.0	16.0	190.92
pga3	4	4	1200	119.36378574371338	140.241666667	64.6701883706	200.0	16.0	191.39
