Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga2	2	2	10	0.12563514709472656	11.0	0.0	11.0	11.0	16.7
pga2	2	2	20	0.23289179801940918	15.5	4.5	20.0	11.0	16.6
pga2	2	2	30	0.3786940574645996	16.0	3.74165738677	20.0	11.0	18.7333333333
pga2	2	2	40	0.4843778610229492	16.5	3.35410196625	20.0	11.0	18.125
pga2	2	2	50	0.600750207901001	15.8	3.31058907145	20.0	11.0	18.14
pga2	2	2	60	0.7275149822235107	21.3333333333	12.736648783	49.0	11.0	18.55
pga2	2	2	70	0.8750224113464355	21.1428571429	11.8010722446	49.0	11.0	19.2428571429
pga2	2	2	80	0.9966809749603271	20.25	11.2888219049	49.0	11.0	19.2875
pga2	2	2	90	1.1669445037841797	20.4444444444	10.6574033851	49.0	11.0	20.2555555556
pga2	2	2	100	1.3477044105529785	21.9	11.0131739294	49.0	11.0	21.13
pga2	2	2	110	1.5249497890472412	21.5454545455	10.5603343298	49.0	11.0	22.28
pga2	2	2	120	1.7198898792266846	21.4166666667	10.1197688819	49.0	11.0	23.79
pga2	2	2	130	1.935490608215332	20.7692307692	9.97808249001	49.0	11.0	25.0
pga2	2	2	140	2.098332405090332	20.4285714286	9.69325454496	49.0	11.0	26.02
pga2	2	2	150	2.2609665393829346	22.6	12.3978492758	53.0	11.0	26.83
pga2	2	2	160	2.429842472076416	22.75	12.0182153417	53.0	11.0	27.51
pga2	2	2	170	2.8671963214874268	23.1764705882	11.783514377	53.0	11.0	29.29
pga2	2	2	180	3.0357954502105713	23.3333333333	11.4697670227	53.0	11.0	30.08
pga2	2	2	190	3.304541826248169	22.6315789474	11.5540401971	53.0	10.0	31.68
pga2	2	2	200	3.486724376678467	22.0	11.593101397	53.0	10.0	31.73
pga2	2	2	210	3.6918163299560547	21.9047619048	11.3217227442	53.0	10.0	32.22
pga2	2	2	220	3.866230010986328	22.5	11.3927808083	53.0	10.0	31.95
pga2	2	2	230	4.150484323501587	22.3913043478	11.1540171373	53.0	10.0	33.14
pga2	2	2	240	4.363613843917847	22.75	11.0538454847	53.0	10.0	34.04
pga2	2	2	250	4.539623022079468	23.12	10.981147481	53.0	10.0	34.28
pga2	2	2	260	4.836662530899048	24.8461538462	13.7999228194	68.0	10.0	36.41
pga2	2	2	270	5.010936737060547	25.4444444444	13.8813312771	68.0	10.0	35.12
pga2	2	2	280	5.336400270462036	27.8928571429	18.6458330958	94.0	10.0	37.75
pga2	2	2	290	5.640566825866699	28.4137931034	18.5277373451	94.0	10.0	38.26
pga2	2	2	300	5.9322850704193115	31.2666666667	23.8298598868	114.0	10.0	40.22
pga2	2	2	310	6.193880081176758	32.5161290323	24.4208675545	114.0	10.0	41.12
pga2	2	2	320	6.46011209487915	33.40625	24.5418766792	114.0	10.0	42.56
pga2	2	2	330	6.7831504344940186	35.303030303	26.4420290429	114.0	10.0	43.16
pga2	2	2	340	7.1008195877075195	35.9411764706	26.3069451537	114.0	10.0	44.85
pga2	2	2	350	7.457428693771362	36.2857142857	26.0061217283	114.0	10.0	47.81
pga2	2	2	360	7.816993951797485	36.25	25.6432523072	114.0	10.0	47.84
