Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn17	4	4	1	1.446711540222168	21.8634801624	11.3027041802	111.0	8.0	0.999	21.8634801624	11.3027041802	19.75
dqn17	4	4	2	1.5187132358551025	21.8628981886	11.3009870654	111.0	8.0	0.998001	21.8628981886	11.3009870654	19.69
dqn17	4	4	3	1.5909807682037354	21.861067749	11.2996975299	111.0	8.0	0.997002999	21.861067749	11.2996975299	19.61
dqn17	4	4	4	1.6645429134368896	21.8598626717	11.2981398701	111.0	8.0	0.996005996001	21.8598626717	11.2981398701	19.53
dqn17	4	4	5	1.7408866882324219	21.863650546	11.298411735	111.0	8.0	0.995009990004999	21.863650546	11.298411735	19.74
dqn17	4	4	6	1.8111627101898193	21.8599500936	11.2985918443	111.0	8.0	0.994014980014994	21.8599500936	11.2985918443	19.62
dqn17	4	4	7	1.8840548992156982	21.8565637668	11.2984572147	111.0	8.0	0.993020965034979	21.8565637668	11.2984572147	19.58
dqn17	4	4	8	1.9563210010528564	21.8622194514	11.3012355188	111.0	8.0	0.9920279440699441	21.8622194514	11.3012355188	19.81
dqn17	4	4	9	2.027780532836914	21.8631972577	11.2996102376	111.0	8.0	0.9910359161258742	21.8631972577	11.2996102376	19.81
dqn17	4	4	10	2.100778818130493	21.8685358255	11.3018968733	111.0	8.0	0.9900448802097482	21.8685358255	11.3018968733	20.09
dqn17	4	4	11	2.177804946899414	21.867642479	11.3002502164	111.0	8.0	0.9890548353295385	21.867642479	11.3002502164	20.07
dqn17	4	4	12	2.262770175933838	21.8655043587	11.2991406053	111.0	8.0	0.988065780494209	21.8655043587	11.2991406053	20.09
dqn17	4	4	13	2.346916913986206	21.8689698101	11.2990892038	111.0	8.0	0.9870777147137147	21.8689698101	11.2990892038	20.26
dqn17	4	4	14	2.425278425216675	21.8662103298	11.2984140508	111.0	8.0	0.986090636999001	21.8662103298	11.2984140508	20.06
dqn17	4	4	15	2.4973666667938232	21.867496112	11.2968919513	111.0	8.0	0.9851045463620021	21.867496112	11.2968919513	20.1
dqn17	4	4	16	2.5729775428771973	21.8722014925	11.2982860224	111.0	8.0	0.98411944181564	21.8722014925	11.2982860224	20.25
dqn17	4	4	17	2.6461009979248047	21.8737954616	11.2968915121	111.0	8.0	0.9831353223738244	21.8737954616	11.2968915121	20.33
dqn17	4	4	18	2.7168643474578857	21.8722809198	11.2954627622	111.0	8.0	0.9821521870514506	21.8722809198	11.2954627622	20.37
dqn17	4	4	19	2.7918806076049805	21.8726312519	11.2937256127	111.0	8.0	0.9811700348643991	21.8726312519	11.2937256127	20.07
dqn17	4	4	20	2.862649917602539	21.8695652174	11.2933116219	111.0	8.0	0.9801888648295347	21.8695652174	11.2933116219	19.83
dqn17	4	4	21	2.935749053955078	21.8795405154	11.3057375916	111.0	8.0	0.9792086759647052	21.8795405154	11.3057375916	20.19
dqn17	4	4	22	3.0066051483154297	21.8780260708	11.3043097565	111.0	8.0	0.9782294672887405	21.8780260708	11.3043097565	20.16
dqn17	4	4	23	3.082019805908203	21.876202296	11.3030300073	111.0	8.0	0.9772512378214517	21.876202296	11.3030300073	20.21
dqn17	4	4	24	3.1546788215637207	21.8870967742	11.3181887589	111.0	8.0	0.9762739865836303	21.8870967742	11.3181887589	20.55
dqn17	4	4	25	3.2257838249206543	21.8843410853	11.3175155356	111.0	8.0	0.9752977125970467	21.8843410853	11.3175155356	20.52
dqn17	4	4	26	3.301393508911133	21.8818970862	11.3166124314	111.0	8.0	0.9743224148844496	21.8818970862	11.3166124314	20.54
dqn17	4	4	27	3.375333786010742	21.8791447165	11.3159387557	111.0	8.0	0.9733480924695651	21.8791447165	11.3159387557	20.52
dqn17	4	4	28	3.451211452484131	21.8825898389	11.3158783172	111.0	8.0	0.9723747443770956	21.8825898389	11.3158783172	20.63
