Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn7	4	4	1	0.5640199184417725	23.9393939394	13.2960221756	61.0	11.0	0.999	23.9393939394	13.2960221756	22.9393939394
dqn7	4	4	2	0.6274855136871338	24.0	13.1036591208	61.0	11.0	0.998001	24.0	13.1036591208	23.0
dqn7	4	4	3	0.6916801929473877	23.8285714286	12.9537324225	61.0	11.0	0.997002999	23.8285714286	12.9537324225	22.8285714286
dqn7	4	4	4	0.7563328742980957	23.5277777778	12.8959212137	61.0	11.0	0.996005996001	23.5277777778	12.8959212137	22.5277777778
dqn7	4	4	5	0.8225877285003662	23.5675675676	12.7226984656	61.0	11.0	0.995009990004999	23.5675675676	12.7226984656	22.5675675676
dqn7	4	4	6	0.8885693550109863	23.2368421053	12.7143396263	61.0	11.0	0.994014980014994	23.2368421053	12.7143396263	22.2368421053
dqn7	4	4	7	0.9534409046173096	23.0769230769	12.588934122	61.0	11.0	0.993020965034979	23.0769230769	12.588934122	22.0769230769
dqn7	4	4	8	1.0176990032196045	23.425	12.6192065915	61.0	11.0	0.9920279440699441	23.425	12.6192065915	22.425
dqn7	4	4	9	1.0832431316375732	23.8048780488	12.6938039662	61.0	11.0	0.9910359161258742	23.8048780488	12.6938039662	22.8048780488
dqn7	4	4	10	1.1454429626464844	23.5476190476	12.6494915782	61.0	11.0	0.9900448802097482	23.5476190476	12.6494915782	22.5476190476
dqn7	4	4	11	1.2121303081512451	23.8604651163	12.6648779965	61.0	11.0	0.9890548353295385	23.8604651163	12.6648779965	22.8604651163
dqn7	4	4	12	1.2736430168151855	23.7954545455	12.5273873527	61.0	11.0	0.988065780494209	23.7954545455	12.5273873527	22.7954545455
dqn7	4	4	13	1.3380014896392822	23.6888888889	12.4075643992	61.0	11.0	0.9870777147137147	23.6888888889	12.4075643992	22.6888888889
dqn7	4	4	14	1.4010179042816162	23.4130434783	12.4106827878	61.0	11.0	0.986090636999001	23.4130434783	12.4106827878	22.4130434783
dqn7	4	4	15	1.4638493061065674	23.4680851064	12.2836183314	61.0	11.0	0.9851045463620021	23.4680851064	12.2836183314	22.4680851064
dqn7	4	4	16	1.5286619663238525	23.3541666667	12.1800547059	61.0	11.0	0.98411944181564	23.3541666667	12.1800547059	22.3541666667
dqn7	4	4	17	1.5948691368103027	23.2448979592	12.0788744783	61.0	11.0	0.9831353223738244	23.2448979592	12.0788744783	22.2448979592
dqn7	4	4	18	1.6585004329681396	23.56	12.1592105007	61.0	11.0	0.9821521870514506	23.56	12.1592105007	22.56
dqn7	4	4	19	1.7228014469146729	23.7058823529	12.0835232455	61.0	11.0	0.9811700348643991	23.7058823529	12.0835232455	22.7058823529
dqn7	4	4	20	1.7848656177520752	23.7115384615	11.9668396613	61.0	11.0	0.9801888648295347	23.7115384615	11.9668396613	22.7115384615
dqn7	4	4	21	1.850400686264038	23.5094339623	11.942665929	61.0	11.0	0.9792086759647052	23.5094339623	11.942665929	22.5094339623
dqn7	4	4	22	1.9142062664031982	23.9814814815	12.3205500429	61.0	11.0	0.9782294672887405	23.9814814815	12.3205500429	22.9814814815
dqn7	4	4	23	1.9765653610229492	24.2909090909	12.4179821626	61.0	11.0	0.9772512378214517	24.2909090909	12.4179821626	23.2909090909
dqn7	4	4	24	2.038590908050537	24.1428571429	12.3554912191	61.0	11.0	0.9762739865836303	24.1428571429	12.3554912191	23.1428571429
dqn7	4	4	25	2.1033754348754883	24.0701754386	12.2587020994	61.0	11.0	0.9752977125970467	24.0701754386	12.2587020994	23.0701754386
dqn7	4	4	26	2.1678483486175537	24.0344827586	12.1555514737	61.0	11.0	0.9743224148844496	24.0344827586	12.1555514737	23.0344827586
