Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga7	4	4	10	0.1571183204650879	13.0	0.0	13.0	13.0	17.9
pga7	4	4	20	0.31905221939086914	12.5	0.5	13.0	12.0	20.05
pga7	4	4	30	0.5196888446807861	16.6666666667	5.90668171556	25.0	12.0	22.7666666667
pga7	4	4	40	0.7132625579833984	20.0	7.71362431027	30.0	12.0	24.025
pga7	4	4	50	0.845360279083252	21.4	7.44580418759	30.0	12.0	22.72
pga7	4	4	60	1.05861496925354	20.0	7.48331477355	30.0	12.0	24.0333333333
pga7	4	4	70	1.2029457092285156	19.0	7.34846922835	30.0	12.0	23.4
pga7	4	4	80	1.408280849456787	18.375	7.06996287119	30.0	12.0	24.0375
pga7	4	4	90	1.6213719844818115	19.5555555556	7.45521608765	30.0	12.0	24.6
pga7	4	4	100	1.820669412612915	19.6	7.07389567353	30.0	12.0	24.95
pga7	4	4	110	2.05489444732666	19.2727272727	6.82363418356	30.0	12.0	26.53
pga7	4	4	120	2.2490389347076416	22.0	11.1579568022	52.0	12.0	27.08
pga7	4	4	130	2.437520742416382	22.3076923077	10.7730762365	52.0	12.0	26.83
pga7	4	4	140	2.6931581497192383	23.4285714286	11.1401095514	52.0	12.0	27.6
pga7	4	4	150	2.938326835632324	23.2	10.796295661	52.0	12.0	29.31
pga7	4	4	160	3.2327046394348145	27.4375	19.4581883471	91.0	12.0	30.4
pga7	4	4	170	3.525500535964966	30.7058823529	22.9622829001	91.0	12.0	32.65
pga7	4	4	180	3.778920888900757	30.7777777778	22.3172966193	91.0	12.0	33.4
pga7	4	4	190	4.062952280044556	30.9473684211	21.7339745783	91.0	12.0	34.55
pga7	4	4	200	4.3916308879852295	31.1	21.1941029534	91.0	12.0	36.43
pga7	4	4	210	4.635668039321899	31.4285714286	20.7354571609	91.0	12.0	36.43
pga7	4	4	220	4.9677722454071045	32.5454545455	20.8952523375	91.0	12.0	38.41
pga7	4	4	230	5.217928886413574	32.0434782609	20.5711453907	91.0	12.0	39.28
pga7	4	4	240	5.6937172412872314	34.5416666667	23.4324902053	92.0	12.0	42.53
pga7	4	4	250	6.100675106048584	34.56	22.9592334367	92.0	12.0	44.77
pga7	4	4	260	6.652420282363892	34.3846153846	22.5304527645	92.0	12.0	48.68
pga7	4	4	270	7.143735647201538	37.6296296296	27.6152777739	122.0	12.0	51.08
pga7	4	4	280	7.781104326248169	39.6428571429	29.065460953	122.0	12.0	56.42
pga7	4	4	290	8.184026002883911	41.9655172414	31.09216861	122.0	12.0	57.81
pga7	4	4	300	8.70532751083374	41.7666666667	30.5883238435	122.0	12.0	59.83
pga7	4	4	310	9.3575758934021	43.4838709677	31.5266103349	122.0	12.0	65.72
pga7	4	4	320	9.983747482299805	43.6875	31.0508026265	122.0	12.0	69.53
pga7	4	4	330	10.739009618759155	45.6666666667	32.5619844033	122.0	12.0	76.09
pga7	4	4	340	11.714496374130249	47.0588235294	33.0613878009	122.0	12.0	82.33
pga7	4	4	350	12.608904838562012	48.7714285714	34.0814869849	122.0	12.0	89.34
pga7	4	4	360	13.585176944732666	48.6944444444	33.6078855202	122.0	12.0	95.62
pga7	4	4	370	14.562077283859253	50.8918918919	35.6763103957	130.0	12.0	101.99
pga7	4	4	380	15.441172122955322	50.4210526316	35.3200640601	130.0	12.0	104.93
pga7	4	4	390	16.324461460113525	54.2564102564	42.1247950303	200.0	12.0	112.31
pga7	4	4	400	17.383224725723267	57.1	45.2270936497	200.0	12.0	121.2
pga7	4	4	410	18.301635265350342	59.1219512195	46.4664553131	200.0	12.0	125.4
pga7	4	4	420	19.364675283432007	62.4761904762	50.6854154355	200.0	12.0	132.45
pga7	4	4	430	20.310237407684326	64.6046511628	51.9571109062	200.0	12.0	136.44
pga7	4	4	440	21.17615032196045	64.4090909091	51.3793017141	200.0	12.0	136.05
pga7	4	4	450	22.04666829109192	65.6666666667	51.4854887862	200.0	12.0	136.0
pga7	4	4	460	22.887640476226807	67.1304347826	51.860854256	200.0	12.0	133.9
pga7	4	4	470	23.83508014678955	68.4893617021	52.1274511503	200.0	12.0	134.43
pga7	4	4	480	24.904354095458984	69.5625	52.1036252138	200.0	12.0	136.96
pga7	4	4	490	25.761504888534546	71.2040816327	52.8084639134	200.0	12.0	136.35
pga7	4	4	500	26.891908168792725	73.34	54.3737473419	200.0	12.0	137.08
pga7	4	4	510	28.07974338531494	75.137254902	55.3176281543	200.0	12.0	141.21
pga7	4	4	520	29.416202545166016	77.5384615385	57.4042552492	200.0	12.0	145.04
