Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn3	4	4	1	0.47960329055786133	20.9696969697	13.9837239772	78.0	10.0	0.999	20.9696969697	13.9837239772	19.9696969697
dqn3	4	4	2	0.5360240936279297	21.6764705882	14.3623703357	78.0	10.0	0.998001	21.6764705882	14.3623703357	20.6764705882
dqn3	4	4	3	0.5943593978881836	21.6	14.1627277437	78.0	10.0	0.997002999	21.6	14.1627277437	20.6
dqn3	4	4	4	0.6490128040313721	21.3333333333	14.0534693226	78.0	10.0	0.996005996001	21.3333333333	14.0534693226	20.3333333333
dqn3	4	4	5	0.7078299522399902	21.2162162162	13.8800559527	78.0	10.0	0.995009990004999	21.2162162162	13.8800559527	20.2162162162
dqn3	4	4	6	0.7679603099822998	21.2894736842	13.7034530699	78.0	10.0	0.994014980014994	21.2894736842	13.7034530699	20.2894736842
dqn3	4	4	7	0.8227126598358154	21.2564102564	13.5281623607	78.0	10.0	0.993020965034979	21.2564102564	13.5281623607	20.2564102564
dqn3	4	4	8	0.8785908222198486	21.375	13.3785042138	78.0	10.0	0.9920279440699441	21.375	13.3785042138	20.375
dqn3	4	4	9	0.9387826919555664	21.3414634146	13.2160467062	78.0	10.0	0.9910359161258742	21.3414634146	13.2160467062	20.3414634146
dqn3	4	4	10	0.9929568767547607	21.1428571429	13.1195445416	78.0	10.0	0.9900448802097482	21.1428571429	13.1195445416	20.1428571429
dqn3	4	4	11	1.0480096340179443	21.0	12.9991055148	78.0	10.0	0.9890548353295385	21.0	12.9991055148	20.0
dqn3	4	4	12	1.104543924331665	20.9772727273	12.8514035957	78.0	10.0	0.988065780494209	20.9772727273	12.8514035957	19.9772727273
dqn3	4	4	13	1.1628327369689941	20.9777777778	12.7078084287	78.0	10.0	0.9870777147137147	20.9777777778	12.7078084287	19.9777777778
dqn3	4	4	14	1.2210791110992432	21.1739130435	12.6375980585	78.0	10.0	0.986090636999001	21.1739130435	12.6375980585	20.1739130435
dqn3	4	4	15	1.2780861854553223	21.7872340426	13.1762781208	78.0	10.0	0.9851045463620021	21.7872340426	13.1762781208	20.7872340426
dqn3	4	4	16	1.3327593803405762	21.5625	13.1290172424	78.0	10.0	0.98411944181564	21.5625	13.1290172424	20.5625
dqn3	4	4	17	1.3912935256958008	21.4081632653	13.0382770355	78.0	10.0	0.9831353223738244	21.4081632653	13.0382770355	20.4081632653
dqn3	4	4	18	1.4486892223358154	22.82	16.2563095443	92.0	10.0	0.9821521870514506	22.82	16.2563095443	21.82
dqn3	4	4	19	1.507582426071167	22.6078431373	16.1659026681	92.0	10.0	0.9811700348643991	22.6078431373	16.1659026681	21.6078431373
dqn3	4	4	20	1.565256118774414	22.5	16.0282203053	92.0	10.0	0.9801888648295347	22.5	16.0282203053	21.5
dqn3	4	4	21	1.6250722408294678	22.679245283	15.9288199529	92.0	10.0	0.9792086759647052	22.679245283	15.9288199529	21.679245283
dqn3	4	4	22	1.6817841529846191	22.4814814815	15.8461827869	92.0	10.0	0.9782294672887405	22.4814814815	15.8461827869	21.4814814815
dqn3	4	4	23	1.7379052639007568	22.3636363636	15.7253283086	92.0	10.0	0.9772512378214517	22.3636363636	15.7253283086	21.3636363636
dqn3	4	4	24	1.7926228046417236	22.2678571429	15.6004705417	92.0	10.0	0.9762739865836303	22.2678571429	15.6004705417	21.2678571429
dqn3	4	4	25	1.850801944732666	22.4035087719	15.496303633	92.0	10.0	0.9752977125970467	22.4035087719	15.496303633	21.4035087719
dqn3	4	4	26	1.9068992137908936	22.5862068966	15.4239340243	92.0	10.0	0.9743224148844496	22.5862068966	15.4239340243	21.5862068966
dqn3	4	4	27	1.9618616104125977	22.4406779661	15.3327733474	92.0	10.0	0.9733480924695651	22.4406779661	15.3327733474	21.4406779661
dqn3	4	4	28	2.015843152999878	22.2833333333	15.2524223941	92.0	10.0	0.9723747443770956	22.2833333333	15.2524223941	21.2833333333
dqn3	4	4	29	2.0753886699676514	22.1639344262	15.1551325806	92.0	10.0	0.9714023696327185	22.1639344262	15.1551325806	21.1639344262
