Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga3	2	2	10	0.17157316207885742	28.0	0.0	28.0	28.0	20.1
pga3	2	2	20	0.3212006092071533	37.5	9.5	47.0	28.0	20.5
pga3	2	2	30	0.5499227046966553	39.6666666667	8.33999733546	47.0	28.0	24.5666666667
pga3	2	2	40	0.6449832916259766	33.0	13.6198384719	47.0	13.0	21.575
pga3	2	2	50	0.8559825420379639	35.6	13.2453765518	47.0	13.0	23.34
pga3	2	2	60	1.0224862098693848	32.0	14.5258390463	47.0	13.0	23.4
pga3	2	2	70	1.1776304244995117	31.2857142857	13.5616506129	47.0	13.0	23.1714285714
pga3	2	2	80	1.5357601642608643	31.25	12.6861144564	47.0	13.0	24.15
pga3	2	2	90	1.8461241722106934	29.8888888889	12.5648932829	47.0	13.0	24.2777777778
pga3	2	2	100	1.998006820678711	27.9	13.3300412603	47.0	10.0	23.99
pga3	2	2	110	2.203929901123047	27.3636363636	12.8223719779	47.0	10.0	24.92
pga3	2	2	120	2.381723165512085	29.3333333333	13.9064333633	51.0	10.0	25.39
pga3	2	2	130	2.611685276031494	30.4615384615	13.9207392853	51.0	10.0	25.41
pga3	2	2	140	2.9666638374328613	31.7857142857	14.2386725476	51.0	10.0	29.32
pga3	2	2	150	3.2533516883850098	34.4	16.879178495	71.0	10.0	30.44
pga3	2	2	160	3.5034902095794678	35.1875	16.6253524399	71.0	10.0	31.62
pga3	2	2	170	3.848085880279541	34.1176470588	16.6870233237	71.0	10.0	34.2
pga3	2	2	180	4.17531156539917	34.3333333333	16.2412369534	71.0	10.0	35.83
pga3	2	2	190	4.372223854064941	33.5789473684	16.1288097563	71.0	10.0	36.12
pga3	2	2	200	4.666531085968018	33.45	15.7304640745	71.0	10.0	38.27
pga3	2	2	210	5.009408712387085	35.0	16.8438204014	71.0	10.0	40.3
pga3	2	2	220	5.369912624359131	37.8636363636	21.048203237	98.0	10.0	42.95
pga3	2	2	230	5.7384161949157715	40.1304347826	23.1691405478	98.0	10.0	45.04
pga3	2	2	240	6.082822322845459	39.4583333333	22.9092033302	98.0	10.0	44.87
pga3	2	2	250	6.463963508605957	43.2	28.9799930987	133.0	10.0	46.23
pga3	2	2	260	6.922247409820557	44.8846153846	29.6392760774	133.0	10.0	49.41
pga3	2	2	270	7.418464660644531	46.1481481481	29.7902590389	133.0	10.0	51.9
pga3	2	2	280	8.001070737838745	46.8214285714	29.4619046657	133.0	10.0	55.63
pga3	2	2	290	8.482630252838135	46.3793103448	29.0438595719	133.0	10.0	59.9
pga3	2	2	300	8.86606216430664	47.1333333333	28.8429463744	133.0	10.0	61.17
pga3	2	2	310	9.45807695388794	47.2258064516	28.3784444292	133.0	10.0	64.94
pga3	2	2	320	10.126550197601318	50.5625	33.5456195911	154.0	10.0	69.64
pga3	2	2	330	10.851471185684204	54.1818181818	38.8637515504	170.0	10.0	74.92
pga3	2	2	340	11.500135660171509	55.5294117647	39.0627212797	170.0	10.0	79.39
pga3	2	2	350	12.12018346786499	57.2285714286	39.755025353	170.0	10.0	82.96
pga3	2	2	360	12.666321277618408	59.6111111111	41.6561838665	170.0	10.0	84.23
pga3	2	2	370	13.30660891532898	60.7837837838	41.6874698493	170.0	10.0	86.33
pga3	2	2	380	14.181451320648193	62.5526315789	42.5191581392	170.0	10.0	90.81
pga3	2	2	390	14.86602783203125	62.5384615385	41.9705917518	170.0	10.0	93.81
pga3	2	2	400	15.766892671585083	65.775	46.1088318546	192.0	10.0	101.48
pga3	2	2	410	16.704673290252686	67.0243902439	46.2234698093	192.0	10.0	106.66
pga3	2	2	420	17.638712644577026	68.2380952381	46.3263832697	192.0	10.0	110.59
pga3	2	2	430	18.5350923538208	70.1395348837	47.4138540226	192.0	10.0	113.22
pga3	2	2	440	19.488860368728638	71.7272727273	48.0143745694	192.0	10.0	117.75
pga3	2	2	450	20.47343158721924	73.2666666667	48.5635437111	192.0	10.0	123.24
pga3	2	2	460	21.355427265167236	72.5217391304	48.292018933	192.0	10.0	128.2
pga3	2	2	470	22.356231689453125	73.3191489362	48.0806531547	192.0	10.0	133.59
pga3	2	2	480	23.452523946762085	74.875	48.7581723919	192.0	10.0	137.06
pga3	2	2	490	24.532499074935913	76.2448979592	49.1825133236	192.0	10.0	142.98
pga3	2	2	500	25.59193444252014	77.4	49.3550402695	192.0	10.0	145.36
pga3	2	2	510	26.678121328353882	79.1176470588	50.3554608129	192.0	10.0	147.54
pga3	2	2	520	27.666197538375854	79.8076923077	50.1118128487	192.0	10.0	148.39
pga3	2	2	530	28.749674320220947	82.0754716981	52.261262777	200.0	10.0	151.08
pga3	2	2	540	29.82101011276245	82.5555555556	51.8929334612	200.0	10.0	152.89
pga3	2	2	550	30.844695806503296	84.3454545455	53.0746363604	200.0	10.0	152.88
pga3	2	2	560	32.070863246917725	85.6071428571	53.4244053953	200.0	10.0	156.01
pga3	2	2	570	33.198384523391724	87.1228070175	54.1547717602	200.0	10.0	157.02
pga3	2	2	580	34.12626934051514	88.6379310345	54.8910200167	200.0	10.0	154.14
pga3	2	2	590	35.13563585281372	89.6271186441	54.942774021	200.0	10.0	152.71
pga3	2	2	600	36.0780029296875	90.4166666667	54.8194891338	200.0	10.0	150.72
pga3	2	2	610	37.28894758224487	91.9344262295	55.6248761583	200.0	10.0	152.25
pga3	2	2	620	38.45455026626587	93.6774193548	56.8290515759	200.0	10.0	154.6
pga3	2	2	630	39.73702836036682	95.3333333333	57.8643734459	200.0	10.0	157.09
pga3	2	2	640	40.931532859802246	96.96875	58.8597296412	200.0	10.0	158.62
pga3	2	2	650	42.192697048187256	98.4769230769	59.6384253242	200.0	10.0	162.59
pga3	2	2	660	43.48206329345703	99.2878787879	59.5449321436	200.0	10.0	165.51
pga3	2	2	670	44.72393989562988	100.791044776	60.3473867204	200.0	10.0	168.08
pga3	2	2	680	46.0057418346405	101.735294118	60.3985823867	200.0	10.0	172.9
pga3	2	2	690	47.3089702129364	103.15942029	61.0985479057	200.0	10.0	176.98
pga3	2	2	700	48.464909076690674	103.814285714	60.903974268	200.0	10.0	179.93
pga3	2	2	710	49.54305148124695	104.267605634	60.5923710501	200.0	10.0	177.81
pga3	2	2	720	50.84012055397034	105.597222222	61.2042708482	200.0	10.0	179.43
pga3	2	2	730	52.04730725288391	106.424657534	61.1877680068	200.0	10.0	178.39
pga3	2	2	740	53.143611669540405	107.689189189	61.7258379637	200.0	10.0	176.94
pga3	2	2	750	54.47047543525696	108.04	61.3871734703	200.0	10.0	176.5
pga3	2	2	760	55.77828788757324	109.25	61.8757509258	200.0	10.0	176.08
pga3	2	2	770	57.054909467697144	109.350649351	61.4789091137	200.0	10.0	176.51
pga3	2	2	780	58.32765007019043	110.512820513	61.9289799172	200.0	10.0	176.5
pga3	2	2	790	59.67962169647217	111.64556962	62.3436856354	200.0	10.0	176.05
pga3	2	2	800	60.97277784347534	112.75	62.7256925032	200.0	10.0	178.62
pga3	2	2	810	62.18105602264404	113.827160494	63.0774147375	200.0	10.0	181.02
pga3	2	2	820	63.32527136802673	113.902439024	62.6952773256	200.0	10.0	179.16
pga3	2	2	830	64.46749186515808	114.939759036	63.0204306894	200.0	10.0	178.31
pga3	2	2	840	65.7894172668457	115.392857143	62.7800426768	200.0	10.0	180.8
pga3	2	2	850	67.29219126701355	116.105882353	62.7508656663	200.0	10.0	178.76
pga3	2	2	860	68.65792632102966	116.76744186	62.6824174039	200.0	10.0	178.41
pga3	2	2	870	69.7673761844635	117.091954023	62.3937500893	200.0	10.0	175.0
pga3	2	2	880	70.9603590965271	118.034090909	62.6575194761	200.0	10.0	173.7
pga3	2	2	890	72.19756865501404	118.213483146	62.3272393262	200.0	10.0	172.14
pga3	2	2	900	73.35961580276489	118.822222222	62.2454956474	200.0	10.0	169.83
pga3	2	2	910	74.63259100914001	119.208791209	62.0110795636	200.0	10.0	170.55
pga3	2	2	920	76.07748031616211	120.086956522	62.2394835143	200.0	10.0	172.7
pga3	2	2	930	77.3687469959259	120.946236559	62.4502151122	200.0	10.0	174.5
pga3	2	2	940	78.66949963569641	121.787234043	62.6443647328	200.0	10.0	175.34
pga3	2	2	950	79.96787905693054	122.610526316	62.8229416253	200.0	10.0	178.43
pga3	2	2	960	81.2822642326355	123.416666667	62.9868813502	200.0	10.0	179.79
pga3	2	2	970	82.5568745136261	123.989690722	62.9123911951	200.0	10.0	183.13
pga3	2	2	980	83.81815123558044	124.765306122	63.0550133986	200.0	10.0	184.67
pga3	2	2	990	85.1292085647583	125.525252525	63.1852085098	200.0	10.0	187.39
pga3	2	2	1000	86.39307975769043	126.27	63.3036894659	200.0	10.0	189.2
pga3	2	2	1010	87.69389057159424	127.0	63.4111212409	200.0	10.0	189.76
pga3	2	2	1020	90.06146335601807	127.715686275	63.5081247621	200.0	10.0	189.96
pga3	2	2	1030	91.86267280578613	128.417475728	63.5952804428	200.0	10.0	191.2
pga3	2	2	1040	93.15357780456543	129.105769231	63.6731313744	200.0	10.0	191.21
pga3	2	2	1050	94.48327684402466	129.780952381	63.742186218	200.0	10.0	191.85
pga3	2	2	1060	95.86990904808044	130.443396226	63.8029218277	200.0	10.0	191.64
pga3	2	2	1070	97.18589997291565	131.093457944	63.8557856351	200.0	10.0	192.26
pga3	2	2	1080	98.5629575252533	131.731481481	63.9011978212	200.0	10.0	192.64
pga3	2	2	1090	99.88575196266174	132.357798165	63.9395532975	200.0	10.0	192.66
pga3	2	2	1100	101.2432107925415	132.972727273	63.9712235151	200.0	10.0	193.92
pga3	2	2	1110	102.58670210838318	133.576576577	63.9965581211	200.0	10.0	194.51
