Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga4	3	3	10	0.10251808166503906	9.0	0.0	9.0	9.0	12.8
pga4	3	3	20	0.1809101104736328	10.0	1.0	11.0	9.0	11.85
pga4	3	3	30	0.2680511474609375	11.3333333333	2.05480466766	14.0	9.0	12.4333333333
pga4	3	3	40	0.3542759418487549	12.0	2.12132034356	14.0	9.0	12.675
pga4	3	3	50	0.44219040870666504	13.8	4.06939798988	21.0	9.0	12.82
pga4	3	3	60	0.5820877552032471	16.8333333333	7.73340517208	32.0	9.0	14.05
pga4	3	3	70	0.6950974464416504	18.5714285714	8.32993127835	32.0	9.0	14.6
pga4	3	3	80	0.8103632926940918	19.375	8.07677998958	32.0	9.0	15.0625
pga4	3	3	90	0.8935849666595459	19.6666666667	7.65941686205	32.0	9.0	14.8
pga4	3	3	100	1.0254993438720703	21.7	9.48736001214	40.0	9.0	15.37
pga4	3	3	110	1.1890654563903809	21.1818181818	9.19306242197	40.0	9.0	16.73
pga4	3	3	120	1.3594117164611816	22.1666666667	9.38823140367	40.0	9.0	18.41
pga4	3	3	130	1.6122286319732666	23.6153846154	10.3220336513	41.0	9.0	20.85
pga4	3	3	140	1.8227064609527588	23.2142857143	10.0511447211	41.0	9.0	22.95
pga4	3	3	150	2.0415303707122803	25.4	12.6954059932	56.0	9.0	25.09
pga4	3	3	160	2.2254791259765625	25.375	12.2926553275	56.0	9.0	26.05
pga4	3	3	170	2.505845785140991	24.4705882353	12.4622613709	56.0	9.0	28.64
pga4	3	3	180	2.7923481464385986	26.6111111111	14.9856927652	63.0	9.0	31.52
pga4	3	3	190	3.085052013397217	26.3157894737	14.6397175396	63.0	9.0	35.17
pga4	3	3	200	3.3435635566711426	26.2	14.2779550356	63.0	9.0	37.45
pga4	3	3	210	3.8076956272125244	30.9523809524	25.4136749661	126.0	9.0	42.59
pga4	3	3	220	4.087015390396118	31.6818181818	25.053372779	126.0	9.0	44.39
pga4	3	3	230	4.361426830291748	32.3913043478	24.7276277989	126.0	9.0	45.18
pga4	3	3	240	4.5873987674713135	32.0416666667	24.2649939327	126.0	9.0	45.51
pga4	3	3	250	4.915763854980469	32.72	24.0058659498	126.0	9.0	47.64
pga4	3	3	260	5.396402835845947	33.8846153846	24.249229842	126.0	9.0	52.73
pga4	3	3	270	5.691995143890381	34.3333333333	23.9056788542	126.0	9.0	53.23
pga4	3	3	280	6.066857814788818	36.25	25.5001750694	126.0	9.0	54.78
pga4	3	3	290	6.4756340980529785	37.3103448276	25.6771781781	126.0	9.0	56.65
pga4	3	3	300	7.0304200649261475	37.7666666667	25.3649145256	126.0	9.0	61.93
pga4	3	3	310	7.359882354736328	37.7096774194	24.9544017041	126.0	9.0	59.64
pga4	3	3	320	7.881027936935425	38.4375	24.8934447948	126.0	9.0	63.81
pga4	3	3	330	8.391599655151367	40.3939393939	26.8959154204	126.0	9.0	67.72
pga4	3	3	340	8.98550796508789	45.0882352941	37.8062923856	200.0	9.0	73.93
pga4	3	3	350	9.607084035873413	46.0285714286	37.663537285	200.0	9.0	78.83
pga4	3	3	360	10.355445623397827	48.8611111111	40.7425199527	200.0	9.0	83.4
pga4	3	3	370	10.855830669403076	48.2702702703	40.3442273902	200.0	9.0	86.86
pga4	3	3	380	11.23853588104248	48.0263157895	39.8374901728	200.0	9.0	86.98
pga4	3	3	390	11.684489011764526	49.2564102564	40.0478674798	200.0	9.0	87.73
pga4	3	3	400	12.554511308670044	50.25	40.0279589787	200.0	9.0	92.76
pga4	3	3	410	13.179830074310303	50.6341463415	39.6113780756	200.0	9.0	97.81
pga4	3	3	420	14.033902883529663	53.0	41.9665399597	200.0	9.0	103.72
pga4	3	3	430	14.761950016021729	55.6744186047	44.9515092383	200.0	9.0	107.35
pga4	3	3	440	15.422006130218506	55.9090909091	44.4643974954	200.0	9.0	108.32
pga4	3	3	450	16.25671362876892	55.7333333333	43.9830270294	200.0	9.0	112.19
pga4	3	3	460	17.21049690246582	58.8695652174	48.3225614314	200.0	9.0	115.59
pga4	3	3	470	17.987422704696655	61.4255319149	50.8517849143	200.0	9.0	120.54
pga4	3	3	480	18.89538836479187	64.3125	54.0717718446	200.0	9.0	129.7
pga4	3	3	490	19.719611406326294	66.6326530612	55.8791311773	200.0	9.0	136.01
pga4	3	3	500	20.663312911987305	68.88	57.5109172245	200.0	9.0	137.74
pga4	3	3	510	21.510071992874146	71.3529411765	59.5686532678	200.0	9.0	141.88
pga4	3	3	520	22.520541191101074	73.3269230769	60.6540382173	200.0	9.0	144.56
pga4	3	3	530	23.514336585998535	75.5471698113	62.1758207076	200.0	9.0	149.03
pga4	3	3	540	24.353683948516846	74.7407407407	61.8765752318	200.0	9.0	152.24
pga4	3	3	550	25.09275770187378	75.4727272727	61.5469826586	200.0	9.0	150.45
pga4	3	3	560	25.840569734573364	76.4642857143	61.4366585208	200.0	9.0	147.22
pga4	3	3	570	26.715681314468384	77.6666666667	61.5565161324	200.0	9.0	148.92
pga4	3	3	580	27.57284379005432	78.8793103448	61.7065015258	200.0	9.0	147.83
pga4	3	3	590	28.466089010238647	80.7118644068	62.7529595082	200.0	9.0	149.31
pga4	3	3	600	29.95972514152527	82.7	64.0742537998	200.0	9.0	149.51
pga4	3	3	610	30.868618965148926	82.5245901639	63.5614086849	200.0	9.0	149.37
pga4	3	3	620	31.796422958374023	83.4193548387	63.4328571588	200.0	9.0	147.27
pga4	3	3	630	32.76494574546814	84.9841269841	64.122277055	200.0	9.0	147.14
pga4	3	3	640	33.827924966812134	86.78125	65.198846987	200.0	9.0	150.79
pga4	3	3	650	34.93255281448364	88.5230769231	66.1790363489	200.0	9.0	156.72
pga4	3	3	660	36.09367227554321	90.2121212121	67.0726686764	200.0	9.0	163.07
pga4	3	3	670	37.19261360168457	91.8507462687	67.8882430486	200.0	9.0	166.44
pga4	3	3	680	38.37747812271118	93.4411764706	68.633164328	200.0	9.0	171.54
pga4	3	3	690	39.43285632133484	94.9855072464	69.3139241409	200.0	9.0	173.92
pga4	3	3	700	40.46635961532593	96.4857142857	69.9362450189	200.0	9.0	174.89
pga4	3	3	710	41.62111949920654	97.9436619718	70.5051965568	200.0	9.0	179.73
pga4	3	3	720	42.69530391693115	99.3611111111	71.0252900099	200.0	9.0	182.82
pga4	3	3	730	43.840574502944946	100.739726027	71.5005560659	200.0	9.0	185.74
pga4	3	3	740	44.93234300613403	101.459459459	71.2815485752	200.0	9.0	186.69
pga4	3	3	750	45.99835753440857	100.586666667	71.201702851	200.0	9.0	186.43
pga4	3	3	760	47.06460738182068	101.894736842	71.6331257809	200.0	9.0	185.4
pga4	3	3	770	48.02862501144409	103.168831169	72.0280253172	200.0	9.0	183.58
pga4	3	3	780	49.137219190597534	104.41025641	72.3891612331	200.0	9.0	183.03
pga4	3	3	790	50.22468590736389	105.620253165	72.7190368747	200.0	9.0	184.18
pga4	3	3	800	51.3102445602417	106.8	73.0199287866	200.0	9.0	184.91
pga4	3	3	810	52.310612201690674	107.950617284	73.2939121711	200.0	9.0	182.37
pga4	3	3	820	53.29155158996582	109.073170732	73.5428828756	200.0	9.0	180.55
pga4	3	3	830	54.42247724533081	110.168674699	73.7685764682	200.0	9.0	180.88
pga4	3	3	840	55.48525524139404	111.238095238	73.9725848586	200.0	9.0	180.54
pga4	3	3	850	56.582621335983276	112.282352941	74.1563708365	200.0	9.0	181.17
pga4	3	3	860	57.740633487701416	113.302325581	74.3212808372	200.0	9.0	182.94
pga4	3	3	870	58.77236032485962	114.298850575	74.4685561882	200.0	9.0	184.03
pga4	3	3	880	59.894453287124634	115.272727273	74.5993430499	200.0	9.0	184.09
pga4	3	3	890	60.94850492477417	116.224719101	74.7147012306	200.0	9.0	183.05
pga4	3	3	900	62.115763664245605	117.155555556	74.8156120236	200.0	9.0	184.68
pga4	3	3	910	63.28538417816162	118.065934066	74.9029851953	200.0	9.0	187.18
pga4	3	3	920	64.45685124397278	118.956521739	74.9776652314	200.0	9.0	189.92
pga4	3	3	930	65.54341053962708	119.23655914	74.6218276247	200.0	9.0	187.8
pga4	3	3	940	66.58492588996887	120.095744681	74.684879718	200.0	9.0	186.66
pga4	3	3	950	67.66774725914001	120.2	74.2976375625	200.0	9.0	185.71
pga4	3	3	960	68.77186751365662	121.03125	74.3524059694	200.0	9.0	183.85
pga4	3	3	970	70.13221025466919	121.845360825	74.3970041806	200.0	9.0	186.02
pga4	3	3	980	71.34979796409607	122.642857143	74.4320330975	200.0	9.0	185.24
pga4	3	3	990	72.49979567527771	123.424242424	74.4580542087	200.0	9.0	186.4
pga4	3	3	1000	73.69336986541748	124.19	74.4755926462	200.0	9.0	186.4
pga4	3	3	1010	74.7865297794342	124.940594059	74.4851399602	200.0	9.0	185.43
pga4	3	3	1020	75.86294054985046	124.588235294	74.2036615741	200.0	9.0	182.35
pga4	3	3	1030	76.99571013450623	125.32038835	74.2118737513	200.0	9.0	183.49
pga4	3	3	1040	78.30630564689636	126.038461538	74.2129113633	200.0	9.0	185.18
pga4	3	3	1050	79.53818535804749	126.742857143	74.2071782655	200.0	9.0	186.05
pga4	3	3	1060	80.70409655570984	127.433962264	74.1950538539	200.0	9.0	185.45
pga4	3	3	1070	81.80767846107483	128.112149533	74.1768947958	200.0	9.0	182.96
pga4	3	3	1080	82.79966139793396	128.777777778	74.1530366169	200.0	9.0	180.97
pga4	3	3	1090	84.00029993057251	129.431192661	74.1237951583	200.0	9.0	181.35
pga4	3	3	1100	85.28762674331665	130.072727273	74.0894679168	200.0	9.0	180.49
pga4	3	3	1110	86.4823386669159	130.702702703	74.0503352785	200.0	9.0	181.71
pga4	3	3	1120	87.74686861038208	131.0625	73.8164085091	200.0	9.0	184.59
pga4	3	3	1130	88.89049196243286	131.672566372	73.7721249222	200.0	9.0	185.05
pga4	3	3	1140	90.05316638946533	132.219298246	73.6774333767	200.0	9.0	185.53
pga4	3	3	1150	91.20530414581299	132.808695652	73.6258337993	200.0	9.0	186.21
pga4	3	3	1160	92.36706280708313	133.387931034	73.5704883149	200.0	9.0	188.58
pga4	3	3	1170	93.51765871047974	133.957264957	73.5116007081	200.0	9.0	191.03
pga4	3	3	1180	94.69653463363647	134.516949153	73.4493637465	200.0	9.0	194.23
pga4	3	3	1190	95.95880126953125	135.067226891	73.3839598589	200.0	9.0	194.77
pga4	3	3	1200	96.99388313293457	135.608333333	73.3155617671	200.0	9.0	193.08
pga4	3	3	1210	98.16082310676575	136.140495868	73.2443330711	200.0	9.0	193.39
pga4	3	3	1220	99.39772272109985	136.663934426	73.1704287953	200.0	9.0	194.25
pga4	3	3	1230	100.97325468063354	137.178861789	73.0939958964	200.0	9.0	194.95
