Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn11	4	4	1	0.3294355869293213	22.4242424242	10.3397740525	50.0	9.0	0.999	22.4242424242	10.3397740525	21.4242424242
dqn11	4	4	2	0.3902781009674072	22.1764705882	10.285542647	50.0	9.0	0.998001	22.1764705882	10.285542647	21.1764705882
dqn11	4	4	3	0.45029377937316895	22.4857142857	10.2966608417	50.0	9.0	0.997002999	22.4857142857	10.2966608417	21.4857142857
dqn11	4	4	4	0.5102109909057617	22.2777777778	10.2269011031	50.0	9.0	0.996005996001	22.2777777778	10.2269011031	21.2777777778
dqn11	4	4	5	0.5726816654205322	21.972972973	10.2521889198	50.0	9.0	0.995009990004999	21.972972973	10.2521889198	20.972972973
dqn11	4	4	6	0.6339194774627686	21.8684210526	10.1363625071	50.0	9.0	0.994014980014994	21.8684210526	10.1363625071	20.8684210526
dqn11	4	4	7	0.6948356628417969	21.8974358974	10.007163772	50.0	9.0	0.993020965034979	21.8974358974	10.007163772	20.8974358974
dqn11	4	4	8	0.7559864521026611	22.15	10.0063729693	50.0	9.0	0.9920279440699441	22.15	10.0063729693	21.15
dqn11	4	4	9	0.8207032680511475	21.9756097561	9.94494063031	50.0	9.0	0.9910359161258742	21.9756097561	9.94494063031	20.9756097561
dqn11	4	4	10	0.8804376125335693	21.8095238095	9.88321832882	50.0	9.0	0.9900448802097482	21.8095238095	9.88321832882	20.8095238095
dqn11	4	4	11	0.9416892528533936	22.3023255814	10.2764913108	50.0	9.0	0.9890548353295385	22.3023255814	10.2764913108	21.3023255814
dqn11	4	4	12	1.0012378692626953	22.2954545455	10.159141753	50.0	9.0	0.988065780494209	22.2954545455	10.159141753	21.2954545455
dqn11	4	4	13	1.0640790462493896	22.0888888889	10.1386438327	50.0	9.0	0.9870777147137147	22.0888888889	10.1386438327	21.0888888889
dqn11	4	4	14	1.1253037452697754	21.847826087	10.1573862422	50.0	9.0	0.986090636999001	21.847826087	10.1573862422	20.847826087
dqn11	4	4	15	1.1849627494812012	21.8510638298	10.0487719656	50.0	9.0	0.9851045463620021	21.8510638298	10.0487719656	20.8510638298
dqn11	4	4	16	1.2459015846252441	21.7083333333	9.99157631319	50.0	9.0	0.98411944181564	21.7083333333	9.99157631319	20.7083333333
dqn11	4	4	17	1.3080313205718994	21.693877551	9.88960303702	50.0	9.0	0.9831353223738244	21.693877551	9.88960303702	20.693877551
dqn11	4	4	18	1.3724429607391357	21.54	9.84928423795	50.0	9.0	0.9821521870514506	21.54	9.84928423795	20.54
dqn11	4	4	19	1.4332644939422607	22.0	10.2803829943	50.0	9.0	0.9811700348643991	22.0	10.2803829943	21.0
dqn11	4	4	20	1.4963817596435547	22.0192307692	10.1819795276	50.0	9.0	0.9801888648295347	22.0192307692	10.1819795276	21.0192307692
dqn11	4	4	21	1.558906078338623	21.9056603774	10.1186622856	50.0	9.0	0.9792086759647052	21.9056603774	10.1186622856	20.9056603774
dqn11	4	4	22	1.6203498840332031	22.3518518519	10.5376879315	50.0	9.0	0.9782294672887405	22.3518518519	10.5376879315	21.3518518519
dqn11	4	4	23	1.6806867122650146	22.5090909091	10.5051895873	50.0	9.0	0.9772512378214517	22.5090909091	10.5051895873	21.5090909091
dqn11	4	4	24	1.7443785667419434	22.4285714286	10.4280821803	50.0	9.0	0.9762739865836303	22.4285714286	10.4280821803	21.4285714286
dqn11	4	4	25	1.8115360736846924	22.2807017544	10.3952661054	50.0	9.0	0.9752977125970467	22.2807017544	10.3952661054	21.2807017544
dqn11	4	4	26	1.8743782043457031	22.1724137931	10.337641182	50.0	9.0	0.9743224148844496	22.1724137931	10.337641182	21.1724137931
dqn11	4	4	27	1.9337835311889648	22.3050847458	10.2993405043	50.0	9.0	0.9733480924695651	22.3050847458	10.2993405043	21.3050847458
dqn11	4	4	28	1.9952890872955322	22.4333333333	10.260550126	50.0	9.0	0.9723747443770956	22.4333333333	10.260550126	21.4333333333
dqn11	4	4	29	2.060112953186035	22.5409836066	10.2102066749	50.0	9.0	0.9714023696327185	22.5409836066	10.2102066749	21.5409836066
dqn11	4	4	30	2.120269536972046	22.7419354839	10.2484231421	50.0	9.0	0.9704309672630859	22.7419354839	10.2484231421	21.7419354839
dqn11	4	4	31	2.179802417755127	22.5873015873	10.2394117524	50.0	9.0	0.9694605362958227	22.5873015873	10.2394117524	21.5873015873
dqn11	4	4	32	2.24042010307312	22.421875	10.2436027102	50.0	9.0	0.9684910757595269	22.421875	10.2436027102	21.421875
dqn11	4	4	33	2.30306077003479	22.4307692308	10.1647493908	50.0	9.0	0.9675225846837673	22.4307692308	10.1647493908	21.4307692308
dqn11	4	4	34	2.363698720932007	22.303030303	10.1398847895	50.0	9.0	0.9665550620990835	22.303030303	10.1398847895	21.303030303
dqn11	4	4	35	2.439105987548828	22.1343283582	10.1568233405	50.0	9.0	0.9655885070369844	22.1343283582	10.1568233405	21.1343283582
dqn11	4	4	36	2.505460023880005	22.0588235294	10.1007896502	50.0	9.0	0.9646229185299474	22.0588235294	10.1007896502	21.0588235294
dqn11	4	4	37	2.57309627532959	21.8695652174	10.1480533487	50.0	9.0	0.9636582956114175	21.8695652174	10.1480533487	20.8695652174
dqn11	4	4	38	2.638099193572998	21.8714285714	10.0753183978	50.0	9.0	0.9626946373158061	21.8714285714	10.0753183978	20.8714285714
