Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga8	4	4	20	0.2835066318511963	14.0	0.0	14.0	14.0	18.7
pga8	4	4	40	0.48764538764953613	12.0	2.0	14.0	10.0	16.525
pga8	4	4	60	0.6972784996032715	12.0	1.63299316186	14.0	10.0	15.8333333333
pga8	4	4	80	1.0685641765594482	23.5	19.9687255477	58.0	10.0	18.6875
pga8	4	4	100	1.5710184574127197	21.0	18.547236991	58.0	10.0	22.28
pga8	4	4	120	1.8934440612792969	21.5	16.968107339	58.0	10.0	23.12
pga8	4	4	140	2.276731252670288	24.5714285714	17.4180295987	58.0	10.0	25.85
pga8	4	4	160	2.774887800216675	27.125	17.6382928596	58.0	10.0	30.28
pga8	4	4	180	3.3047914505004883	31.4444444444	20.6349816849	66.0	10.0	31.93
pga8	4	4	200	3.8281633853912354	31.5	19.5767719505	66.0	10.0	31.9
pga8	4	4	220	4.404525995254517	31.1818181818	18.6928191454	66.0	10.0	35.86
pga8	4	4	240	5.17332649230957	33.9166666667	20.0643063396	66.0	10.0	41.56
pga8	4	4	260	5.8339455127716064	35.0769230769	19.6917067216	66.0	10.0	44.09
pga8	4	4	280	6.510974884033203	38.4285714286	22.4967117779	82.0	10.0	47.04
pga8	4	4	300	7.209522724151611	37.9333333333	21.8127383782	82.0	10.0	50.27
pga8	4	4	320	8.064214706420898	37.75	21.132025459	82.0	10.0	54.24
pga8	4	4	340	8.678715944290161	36.8235294118	20.8333310265	82.0	10.0	52.0
pga8	4	4	360	9.38632082939148	35.7777777778	20.7003906446	82.0	10.0	52.52
pga8	4	4	380	10.241448163986206	39.2105263158	24.860831479	101.0	10.0	55.34
pga8	4	4	400	11.127375364303589	39.55	24.2764803874	101.0	10.0	58.29
pga8	4	4	420	12.09685206413269	41.0476190476	24.619922615	101.0	10.0	60.18
pga8	4	4	440	13.16627812385559	45.1818181818	30.6188242213	132.0	10.0	66.79
pga8	4	4	460	14.612436532974243	49.347826087	35.7571624879	141.0	10.0	78.07
pga8	4	4	480	15.726342916488647	55.625	46.1689041275	200.0	10.0	81.9
pga8	4	4	500	17.243760108947754	57.4	46.0643028819	200.0	10.0	91.69
pga8	4	4	520	18.415530681610107	58.9615384615	45.8395871652	200.0	10.0	95.04
pga8	4	4	540	20.189263820648193	59.6296296296	45.1115064144	200.0	10.0	106.27
pga8	4	4	560	21.66808772087097	58.6071428571	44.6160919766	200.0	10.0	106.92
pga8	4	4	580	23.299285173416138	60.8620689655	45.43485229	200.0	10.0	114.92
pga8	4	4	600	25.333430767059326	64.3666666667	48.4943181093	200.0	10.0	122.62
pga8	4	4	620	27.070724487304688	67.0967741935	49.9944221655	200.0	10.0	131.15
pga8	4	4	640	29.028364658355713	70.375	52.48318183	200.0	10.0	134.16
pga8	4	4	660	30.93099880218506	74.303030303	56.2561699504	200.0	10.0	139.57
pga8	4	4	680	33.146674156188965	75.8235294118	56.1067630338	200.0	10.0	148.43
pga8	4	4	700	35.21595215797424	78.4857142857	57.4368579665	200.0	10.0	148.92
pga8	4	4	720	37.54667592048645	81.8611111111	60.0509750026	200.0	10.0	158.02
pga8	4	4	740	39.61041712760925	85.0540540541	62.2549014443	200.0	10.0	159.47
pga8	4	4	760	41.8042573928833	87.2105263158	62.8151665791	200.0	10.0	164.94
pga8	4	4	780	44.01491737365723	89.1282051282	63.121445617	200.0	10.0	165.52
pga8	4	4	800	46.27461838722229	91.9	64.6864746296	200.0	10.0	168.3
pga8	4	4	820	48.56579327583313	93.3414634146	64.5398760292	200.0	10.0	166.35
pga8	4	4	840	50.92868971824646	94.3095238095	64.0674823155	200.0	10.0	170.83
pga8	4	4	860	53.47541403770447	96.7674418605	65.2910611102	200.0	10.0	176.03
pga8	4	4	880	56.00526547431946	99.1136363636	66.3531241674	200.0	10.0	179.26
pga8	4	4	900	58.65365529060364	101.355555556	67.2759344642	200.0	10.0	184.3
pga8	4	4	920	61.18053078651428	103.5	68.0778805934	200.0	10.0	189.53
pga8	4	4	940	63.7567093372345	105.553191489	68.7743174821	200.0	10.0	193.11
pga8	4	4	960	66.3057873249054	107.520833333	69.3781874893	200.0	10.0	193.58
