Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn12	1	1	1	0.37827062606811523	21.0303030303	9.94068727727	45.0	8.0	0.999	21.0303030303	9.94068727727	20.0303030303
dqn12	1	1	2	0.4429755210876465	21.5588235294	10.2532381584	45.0	8.0	0.998001	21.5588235294	10.2532381584	20.5588235294
dqn12	1	1	3	0.5060958862304688	21.3428571429	10.1838607811	45.0	8.0	0.997002999	21.3428571429	10.1838607811	20.3428571429
dqn12	1	1	4	0.5672206878662109	21.6944444444	10.2545909622	45.0	8.0	0.996005996001	21.6944444444	10.2545909622	20.6944444444
dqn12	1	1	5	0.6291654109954834	21.5945945946	10.1327925221	45.0	8.0	0.995009990004999	21.5945945946	10.1327925221	20.5945945946
dqn12	1	1	6	0.6911354064941406	21.6578947368	10.0059885116	45.0	8.0	0.994014980014994	21.6578947368	10.0059885116	20.6578947368
dqn12	1	1	7	0.7517333030700684	21.8205128205	9.92761441345	45.0	8.0	0.993020965034979	21.8205128205	9.92761441345	20.8205128205
dqn12	1	1	8	0.8121280670166016	21.6	9.89898984745	45.0	8.0	0.9920279440699441	21.6	9.89898984745	20.6
dqn12	1	1	9	0.8755710124969482	21.6341463415	9.77990996407	45.0	8.0	0.9910359161258742	21.6341463415	9.77990996407	20.6341463415
dqn12	1	1	10	0.9366614818572998	21.9047619048	9.81691815623	45.0	8.0	0.9900448802097482	21.9047619048	9.81691815623	20.9047619048
dqn12	1	1	11	0.9995512962341309	21.6511627907	9.84031508507	45.0	8.0	0.9890548353295385	21.6511627907	9.84031508507	20.6511627907
dqn12	1	1	12	1.0600781440734863	21.3863636364	9.88160805163	45.0	8.0	0.988065780494209	21.3863636364	9.88160805163	20.3863636364
dqn12	1	1	13	1.123713731765747	21.1777777778	9.8686684656	45.0	8.0	0.9870777147137147	21.1777777778	9.8686684656	20.1777777778
dqn12	1	1	14	1.1844274997711182	21.0434782609	9.80229902434	45.0	8.0	0.986090636999001	21.0434782609	9.80229902434	20.0434782609
dqn12	1	1	15	1.2441518306732178	20.8936170213	9.75057890819	45.0	8.0	0.9851045463620021	20.8936170213	9.75057890819	19.8936170213
dqn12	1	1	16	1.3073444366455078	20.6458333333	9.79687361554	45.0	8.0	0.98411944181564	20.6458333333	9.79687361554	19.6458333333
dqn12	1	1	17	1.3698952198028564	20.5918367347	9.70360414285	45.0	8.0	0.9831353223738244	20.5918367347	9.70360414285	19.5918367347
dqn12	1	1	18	1.4322478771209717	20.56	9.60866275816	45.0	8.0	0.9821521870514506	20.56	9.60866275816	19.56
dqn12	1	1	19	1.494990587234497	21.2352941176	10.6450545183	55.0	8.0	0.9811700348643991	21.2352941176	10.6450545183	20.2352941176
